Date,Open,High,Low,Close,Volume,is_outlier,data_quality
2021-01-04,3429.67086903049,3617.443834097369,3429.67086903049,3559.635498046875,29740.0,0,1
2021-01-05,3526.820307756196,3885.935957946776,3520.0628378205943,3826.83154296875,58741.0,1,0
2021-01-06,3826.83112981464,3849.417497741831,3635.308935715253,3656.877197265625,42093.0,1,0
2021-01-07,3721.165712264736,3731.533223001448,3582.36084562855,3596.338623046875,22896.0,0,1
2021-01-08,3642.2514403481946,3807.484565971932,3632.716947719672,3788.87841796875,45838.0,0,1
2021-01-11,3841.549701910152,3961.887403415771,3764.718707871949,3928.470458984375,33887.0,0,1
2021-01-12,3928.469354502384,4113.465467088192,3830.44052946519,3966.329345703125,29643.0,0,1
2021-01-13,4022.056426178487,4108.468246699249,3958.601608582022,4076.532470703125,21031.0,0,1
2021-01-14,4096.11057790892,4155.816596502169,4013.4941103205874,4060.194580078125,16588.0,0,1
2021-01-15,4118.326123064592,4165.442867835036,3892.4615301161184,3959.943115234375,13001.0,0,1
2021-01-18,4118.326123064592,4165.442867835036,3892.4615301161184,3959.943115234375,13001.0,0,1
2021-01-19,3762.866873903765,3858.2113481994816,3531.26315726982,3788.87841796875,12873.0,1,0
2021-01-20,3804.52255191609,3923.9345736185655,3762.8671955082496,3787.90673828125,20327.0,1,0
2021-01-21,3850.806404869482,3869.273794265581,3667.8469073052656,3682.240966796875,17572.0,0,1
2021-01-22,3684.184986822815,3725.840344714028,3594.3945487017563,3635.725830078125,10110.0,0,1
2021-01-25,3640.909852151886,3746.205344602729,3575.6034597669327,3604.345703125,5775.0,0,1
2021-01-26,3604.345703125,3604.345703125,3604.345703125,3604.345703125,0.0,0,1
2021-01-27,3693.441847896304,3806.3741550249633,3563.8473970929253,3725.747802734375,11675.0,0,1
2021-01-28,3725.747290789476,3749.6297386405768,3659.885638989689,3675.0205078125,2431.0,0,1
2021-01-29,3695.339333990035,3732.7828263799374,3499.790574641551,3665.486328125,8559.0,0,1
2021-02-01,3693.441608417093,3747.130734554484,3616.610617565308,3646.463623046875,4821.0,0,1
2021-02-02,3683.259173424677,3794.802960908385,3677.9828734895473,3733.662109375,16003.0,0,1
2021-02-03,3779.529352380128,4027.3787239451,3739.725344995277,3990.07421875,19847.0,1,0
2021-02-04,3980.446120866433,4054.453971763239,3887.508499217515,3980.49267578125,13913.0,0,1
2021-02-05,4028.536007519876,4028.536007519876,3809.151119242713,3814.56640625,9374.0,0,1
2021-02-08,3841.549527937479,3855.341988856743,3773.327356218603,3797.071044921875,13513.0,0,1
2021-02-09,3850.8063233667262,3861.081401790927,3748.9821177007793,3765.412841796875,5843.0,0,1
2021-02-10,3762.867345827437,3786.009211422932,3658.7289506477114,3701.865478515625,6336.0,0,1
2021-02-11,3701.865441231637,3747.1308394826137,3686.961989540328,3728.339599609375,4048.0,0,1
2021-02-12,3732.320063886022,3791.193060053565,3615.3148824398886,3732.736572265625,8378.0,0,1
2021-02-15,3732.320063886022,3791.193060053565,3615.3148824398886,3732.736572265625,8378.0,0,1
2021-02-16,3737.827815478567,3755.508291254937,3632.254579053798,3655.350341796875,2874.0,0,1
2021-02-17,3692.5155667650015,3692.5155667650015,3581.4346271781887,3596.291748046875,8636.0,0,1
2021-02-18,3581.4348104011947,3676.501540862155,3564.8653264630484,3583.517578125,9737.0,0,1
2021-02-19,3609.2051745707727,3635.540571079061,3525.894462667369,3543.158203125,3927.0,0,1
2021-02-22,3536.077227190924,3563.801138262743,3494.468196117047,3512.981689453125,8353.0,0,1
2021-02-23,3499.050073163181,3564.587881637257,3471.279834487282,3475.49169921875,7805.0,0,1
2021-02-24,3563.6622372564225,3563.6622372564225,3425.921807056128,3459.24609375,11745.0,0,1
2021-02-25,3435.178488048052,3480.5365440745554,3369.4555905402613,3386.1640625,16606.0,0,1
2021-02-26,3386.1635910761397,3386.1635910761397,3304.6579075686686,3330.067626953125,16165.0,0,1
2021-03-01,3330.5770177725963,3417.9606045502705,3325.022970494488,3343.814208984375,7704.0,0,1
2021-03-02,3350.0164363549293,3591.6175112067217,3350.0164363549293,3548.71240234375,25856.0,1,0
2021-03-03,3569.401078991345,3671.641788246384,3568.475404437665,3621.5166015625,23482.0,1,0
2021-03-04,3611.98232655812,3715.611553900984,3532.6057287871413,3632.34716796875,17277.0,0,1
2021-03-05,3653.730501941895,3653.730501941895,3537.9748417436786,3558.617431640625,4791.0,0,1
2021-03-08,3562.96765689776,3662.246251967893,3562.921327971502,3581.018310546875,13294.0,0,1
2021-03-09,3624.015920051057,3628.135126664167,3577.7785207528077,3610.08447265625,6161.0,0,1
2021-03-10,3647.1578723863568,3841.549535635376,3647.1578723863568,3823.1748046875,75316.0,1,0
2021-03-11,3823.1748046875,3823.1748046875,3823.1748046875,3823.1748046875,0.0,0,1
2021-03-12,3837.522658333621,3868.440098312768,3702.698248748956,3715.009765625,18473.0,0,1
2021-03-15,3747.130414244186,3813.7328759947486,3674.511294176967,3781.38037109375,13211.0,0,1
2021-03-16,3799.893964616223,3883.898928633013,3777.7704336367024,3808.59521484375,11855.0,0,1
2021-03-17,3815.538154810269,3877.558354822144,3725.840373847724,3745.279541015625,10184.0,0,1
2021-03-18,3758.33119137105,3831.181504558662,3655.627423064355,3713.3896484375,7024.0,0,1
2021-03-19,3684.184996880307,3792.303611972829,3616.42565972458,3777.81689453125,19291.0,0,1
2021-03-22,3781.519638771718,3878.576714495369,3768.051253649667,3789.1103515625,17692.0,0,1
2021-03-23,3795.4046628505703,3828.682845885161,3719.406912945273,3735.00439453125,7449.0,0,1
2021-03-24,3718.4347859683794,3822.110338875638,3656.41458913993,3676.270263671875,11409.0,0,1
2021-03-25,3685.897690016088,3685.943792952689,3503.7248739681886,3542.973388671875,11408.0,0,1
2021-03-26,3610.130190601118,3673.076050334676,3572.362629562037,3654.1923828125,4663.0,0,1
2021-03-29,3654.1923828125,3654.1923828125,3654.1923828125,3654.1923828125,0.0,0,1
2021-03-30,3701.7729162740784,3923.009157081656,3625.960253022869,3859.2763671875,25462.0,1,0
2021-03-31,3878.530805098033,3878.530805098033,3709.085783781123,3747.131103515625,17195.0,0,1
2021-04-01,3758.238956873765,3878.206478013264,3758.238956873765,3806.790771484375,6896.0,0,1
2021-04-02,3758.238956873765,3878.206478013264,3758.238956873765,3806.790771484375,6896.0,0,1
2021-04-05,3806.512594235416,3980.400652681272,3779.992108191621,3951.19580078125,26668.0,0,1
2021-04-06,3980.4012695988968,4026.685005291907,3926.712136195005,3940.45849609375,13448.0,0,1
2021-04-07,3924.859674133632,4000.811082079036,3870.985240263648,3976.419921875,9424.0,0,1
2021-04-08,3998.9148260189904,4062.462305715096,3961.378896584495,3997.0634765625,40549.0,0,1
2021-04-09,4025.7589519248695,4119.252089231011,3981.3265698387822,4055.93603515625,10425.0,0,1
2021-04-12,4026.730971540585,4055.380783757856,3816.788134359639,3932.63623046875,22761.0,0,1
2021-04-13,3938.88374620099,4089.167091213141,3764.348000556895,3814.519287109375,15405.0,0,1
2021-04-14,3814.519287109375,3814.519287109375,3814.519287109375,3814.519287109375,0.0,1,0
2021-04-15,3814.520156676365,3821.972109270984,3656.415097314894,3740.558837890625,15271.0,0,1
2021-04-16,3795.080485554655,3864.691395193234,3756.3411397410177,3786.656982421875,6487.0,0,1
2021-04-19,3785.0838865025,3785.0838865025,3620.313788239491,3765.598388671875,11018.0,0,1
2021-04-20,3781.889891622993,3860.063066071456,3625.774735380337,3672.151123046875,14856.0,0,1
2021-04-21,3672.151123046875,3672.151123046875,3672.151123046875,3672.151123046875,0.0,0,1
2021-04-22,3701.495258235789,3718.435149898062,3548.435087127252,3586.8505859375,29220.0,0,1
2021-04-23,3646.232356664522,3693.71951024045,3565.2821557120915,3613.417236328125,6220.0,0,1
2021-04-26,3659.1918129220994,3697.144472757618,3611.5658984006304,3642.43701171875,8408.0,0,1
2021-04-27,3642.622138036744,3666.041524165596,3611.9822189745455,3620.359619140625,5937.0,0,1
2021-04-28,3630.958330382237,3652.15618664227,3549.961809309338,3602.447509765625,20207.0,0,1
2021-04-29,3642.529394816516,3648.2222029645113,3546.2592405443647,3565.004150390625,13895.0,0,1
2021-04-30,3563.8473708305105,3635.0779893160743,3554.544295481723,3600.735595703125,16777.0,0,1
2021-05-03,3623.0903420812624,3648.685154074398,3567.549866729991,3631.65283203125,6677.0,0,1
2021-05-04,3637.9008945053984,3647.157639784038,3553.710841395122,3561.34765625,8309.0,0,1
2021-05-05,3656.414236086153,3667.522329967933,3529.0413358438345,3621.932861328125,25944.0,0,1
2021-05-06,3633.27246990657,3633.27246990657,3509.4635035753595,3531.26318359375,18147.0,0,1
2021-05-07,3577.732080350256,3577.732080350256,3469.428159677299,3487.941650390625,19475.0,0,1
2021-05-10,3531.4488801862262,3531.4488801862262,3365.568023857172,3407.639892578125,30136.0,0,1
2021-05-11,3378.71262809786,3382.5079847355605,3323.172146540087,3350.52587890625,45554.0,0,1
2021-05-12,3355.5703882604994,3417.868333357366,3346.3599712902974,3389.21875,27116.0,0,1
2021-05-13,3389.21875,3389.21875,3389.21875,3389.21875,0.0,0,1
2021-05-14,3411.1111603223158,3426.801300786169,3324.097741307309,3337.103515625,8730.0,0,1
2021-05-17,3341.685621639024,3341.685621639024,3263.882618961183,3319.006591796875,28677.0,0,1
2021-05-18,3373.9908851419063,3387.968660450408,3318.265325597929,3365.5673828125,28418.0,0,1
