Date,Open,High,Low,Close,Volume,is_outlier,data_quality
2021-01-01,67.45974614253052,67.96344338443947,66.92006817339028,67.06398010253906,15130377.0,0,1
2021-01-04,67.67563911073727,70.01424432044529,67.42378492701073,69.76239013671875,39545073.0,0,1
2021-01-05,69.43856356535318,69.43856356535318,67.89148566255164,68.32322692871094,26998014.0,0,1
2021-01-06,71.16555655647744,71.45338598795792,69.25869274904525,69.76239013671875,50306161.0,0,1
2021-01-07,70.51792459586615,71.2734759839201,69.87030990466111,70.44596862792969,25285200.0,0,1
2021-01-08,71.20151598910222,72.89251146474108,70.91369211144234,72.42478942871094,36022114.0,0,1
2021-01-11,73.03642550340983,74.04382557384841,70.55390880294401,73.79197692871094,36301647.0,0,1
2021-01-12,73.39620756024715,75.19513421613556,72.49674423230294,74.43958282470703,28353142.0,0,1
2021-01-13,75.51894409513663,77.64168099134457,74.90731008737426,75.73481750488281,42401579.0,0,1
2021-01-14,76.99404936294376,77.31785391664593,74.97924961356587,75.59088897705078,24455634.0,0,1
2021-01-15,75.73480808122912,76.34644201288611,72.42478431294876,72.96446228027344,28185982.0,0,1
2021-01-18,72.9644615869109,73.28826616827341,69.1147598878886,69.54650115966797,33623461.0,0,1
2021-01-19,70.33804086166897,71.23750429979772,70.15814817404322,70.58988952636719,26085121.0,0,1
2021-01-20,71.23749908057498,71.81315783475735,70.4099916801461,71.12956237792969,18486566.0,0,1
2021-01-21,71.273469928288,72.10097172408263,67.5676802505879,68.1433334350586,26939349.0,0,1
2021-01-22,68.07137785565278,68.68301176941499,66.56028068933205,66.74017333984375,27311961.0,0,1
2021-01-25,66.95603836254283,67.45973552517587,64.76134610416884,65.7327651977539,28522112.0,0,1
2021-01-26,66.95603836254283,67.45973552517587,64.76134610416884,65.7327651977539,28522112.0,0,1
2021-01-27,65.7687521005583,66.02060070554465,63.969825650815935,64.54547882080078,34022621.0,0,1
2021-01-28,64.04178753554739,65.76875818504544,63.89787560220936,65.22908020019531,26810222.0,0,1
2021-01-29,65.3010356254695,66.88408883861646,63.14232370396637,63.53808975219727,33858273.0,0,1
2021-02-01,64.04179631808857,65.62484976145646,63.64603021230204,65.37300109863281,24228098.0,0,1
2021-02-02,66.56027755877449,67.60365268671369,65.62483362415553,66.81212615966797,22141489.0,0,1
2021-02-03,68.07136864847737,68.57507129571331,66.9200569389038,67.17190551757812,25912911.0,0,1
2021-02-04,67.81953382407828,70.94966505644267,67.63964116141493,70.26607513427734,49670027.0,0,1
2021-02-05,71.20151368619366,71.92108433684702,69.65444117919967,70.26607513427734,30514219.0,0,1
2021-02-08,71.59727876000329,72.53272278900388,71.30944940570402,71.70521545410156,29096831.0,0,1
2021-02-09,71.81316069579606,74.36763348076481,71.81316069579606,72.67664337158203,39638657.0,0,1
2021-02-10,73.39620300292968,73.75598831176758,70.9496618048544,71.95706176757812,21467230.0,0,1
2021-02-11,71.95704524165888,72.2088938020273,71.16551884197801,71.561279296875,11287104.0,0,1
2021-02-12,71.16553269688475,71.52531799313807,69.47454290247173,69.79834747314453,18187705.0,0,1
2021-02-15,69.79834544814577,71.4173792343141,68.79094554988569,70.84172058105469,26118576.0,0,1
2021-02-16,71.41738124985292,75.4469754667285,71.41738124985292,74.65544891357422,76236798.0,0,1
2021-02-17,74.6554532599041,75.75332757254976,73.7771560434186,74.83843231201172,21014091.0,0,1
2021-02-18,75.89972536182725,84.53634076446949,75.6435557490537,81.02313995361328,110000964.0,1,0
2021-02-19,81.02311433125134,82.12098853944757,76.00948989730392,76.92438507080078,48225988.0,1,0
2021-02-22,77.5099210232473,79.44949992808958,77.07077245220758,77.80268859863281,36592043.0,0,1
2021-02-23,80.32780212981149,83.73121354187639,80.1082250384225,82.1209945678711,90860972.0,0,1
2021-02-24,83.43843558725754,84.42652120765972,81.24268728232971,83.14566802978516,26071364.0,0,1
2021-02-25,84.90228158944156,88.19590458213541,84.42653492923692,87.13462829589844,62038881.0,0,1
2021-02-26,84.53631364977038,86.65887155952373,80.54737294494879,81.24269104003906,55154985.0,1,0
2021-03-01,83.65802211868096,86.10994021984378,83.07248693747312,85.67079162597656,41672980.0,0,1
