Date,Close,High,Low,Open,Volume,is_outlier,data_quality
2021-01-01,368.87939453125,369.3679765107616,366.58305326341,367.9022305722268,37502.0,0,1
2021-01-04,374.791259765625,376.20815956759327,368.8794291864064,368.8794291864064,109545.0,0,1
2021-01-05,375.6218566894531,380.0190949359181,371.3223408126012,371.5177855518273,93424.0,0,1
2021-01-06,366.8273620605469,378.0159018627732,364.67761913874455,377.5273198595437,148374.0,0,1
2021-01-07,363.5050048828125,373.2766447990172,357.7885895676971,369.3679888325353,120079.0,0,1
2021-01-08,362.7232971191406,370.2474422007893,361.5506883637432,366.87624421521065,119175.0,0,1
2021-01-11,357.2511901855469,364.5310446193132,355.8831664508046,363.21189698051074,84915.0,0,1
2021-01-12,374.7424011230469,380.9962448777833,354.1731104603404,355.68770276085803,503701.0,0,1
2021-01-13,368.4885864257813,377.6739229605562,364.2867629221682,374.7424306736697,117782.0,0,1
2021-01-14,367.5602416992188,371.2246067895752,364.4821809874552,371.2246067895752,38907.0,0,1
2021-01-15,364.2378845214844,368.0976942870728,361.5506834955043,364.5798978889267,38308.0,0,1
2021-01-18,357.2511901855469,372.397233280273,353.3425339030369,365.2639176722838,232651.0,0,1
2021-01-19,363.4561767578125,366.2410704164297,357.88632979921823,366.2410704164297,44171.0,0,1
2021-01-20,361.6484375,367.0716862986229,360.7689957786938,365.1662342059064,43012.0,0,1
2021-01-21,363.4561767578125,377.1853195972648,361.5506949507461,363.5050230315609,154491.0,0,1
2021-01-22,356.66485595703125,366.338773483237,353.2447819957994,366.338773483237,64744.0,0,1
2021-01-25,348.6521301269531,361.4529854770855,343.61974110346483,359.8406707170314,73709.0,0,1
2021-01-26,348.6521301269531,361.4529854770855,343.61974110346483,359.8406707170314,73709.0,0,1
2021-01-27,343.9617614746094,348.456722276198,342.00743328441274,345.916089664806,39183.0,0,1
2021-01-28,358.081787109375,364.8730595362696,339.12478020326444,339.12478020326444,159930.0,0,1
2021-01-29,350.997314453125,364.4821654837707,349.8247057458175,364.2378744881382,81154.0,0,1
2021-02-01,341.6165466308594,350.80188243522235,340.0530782380429,350.80188243522235,174412.0,0,1
2021-02-02,341.1767883300781,356.5671205945314,340.0530557479201,344.5480158972293,162766.0,0,1
2021-02-03,344.6457824707031,350.80190423797166,341.22570819540255,341.22570819540255,121481.0,0,1
2021-02-04,343.4243469238281,351.1927838990089,342.34946041197463,344.64580209168827,141844.0,0,1
2021-02-05,340.4439697265625,349.8247511402704,339.4179593400384,344.8412082185491,137293.0,0,1
2021-02-08,330.9165954589844,342.10513562081525,329.8417090531965,340.8348044791823,354754.0,0,1
2021-02-09,331.2586364746094,337.1704674686709,330.37919473129114,332.2358005940035,153248.0,0,1
2021-02-10,343.8151550292969,350.11784485742504,333.7015017926746,333.7015017926746,429363.0,0,1
2021-02-11,354.7593994140625,356.6648812558936,344.79234391247047,347.47954507261767,418579.0,0,1
2021-02-12,345.3786315917969,356.4694192593193,343.9617318476755,356.4694192593193,431891.0,0,1
2021-02-15,346.84442138671875,353.2448345379014,345.9161035308909,346.01382590845435,171814.0,0,1
2021-02-16,349.14068603515625,358.6191887841533,346.89322075851345,349.726990400574,404959.0,0,1
2021-02-17,359.2054748535156,366.4364821368813,346.1114838559598,349.1406682517496,460545.0,0,1
2021-02-18,364.92193603515625,373.6675366211426,363.5050361969763,371.2246264316468,269290.0,0,1
2021-02-19,359.8895263671875,365.6059423205404,354.7105685616401,365.6059423205404,104767.0,0,1
2021-02-22,353.5868225097656,365.9479419547831,351.73021675236885,361.5507036669419,153006.0,0,1
2021-02-23,354.5639343261719,357.98400804607576,350.4598339340168,355.5899445138725,119176.0,0,1
2021-02-24,357.6908569335937,359.1566028789367,354.9059634939842,355.68768273656275,49635.0,0,1
2021-02-25,360.5247192382813,363.0164758521968,358.42379249322295,360.475843139162,65905.0,0,1
2021-02-26,354.27081298828125,360.4758106452048,352.8050669191188,357.64204087562683,70704.0,0,1
2021-03-01,356.567138671875,361.5506810504905,351.77904102209885,359.1077710433926,108266.0,0,1
2021-03-02,359.69403076171875,366.241010875681,356.5670944124972,356.5670944124972,209811.0,0,1
