Date,Open,High,Low,Close,Volume,is_outlier,data_quality
2021-01-01,1721.6321722825248,1737.6316335694437,1676.5632672489508,1699.5032958984375,9148.0,0,1
2021-01-04,1707.841125239796,1729.7446581492356,1694.5909105370313,1705.046875,3223.0,0,1
2021-01-05,1712.618588721998,1728.25747856534,1676.563460538377,1685.6673583984375,7513.0,0,1
2021-01-06,1687.379956798054,1748.7187860991794,1687.379956798054,1706.9398193359375,12582.0,0,1
2021-01-07,1715.2775176344203,1739.5246120326965,1641.4096217763126,1650.8289794921875,11436.0,0,1
2021-01-08,1652.2710933583846,1672.0562977204277,1579.7551625677274,1599.27001953125,24637.0,0,1
2021-01-11,1607.2922852606616,1650.0176266614358,1607.2922852606616,1637.082763671875,11222.0,0,1
2021-01-12,1649.5219780419502,1665.7016714642384,1624.418619125592,1634.6041259765625,9135.0,0,1
2021-01-13,1634.604021140639,1676.5632144172853,1596.3405659854905,1599.4052734375,9772.0,0,1
2021-01-14,1615.4046820276278,1635.911032509164,1599.9460265814005,1623.9677734375,5925.0,0,1
2021-01-15,1630.63809216255,1630.63809216255,1565.197954224028,1577.68212890625,6061.0,0,1
2021-01-18,1590.0309494608473,1613.4667797816987,1541.3565326406172,1600.3516845703125,4179.0,0,1
2021-01-19,1586.650852139065,1640.508195366055,1586.650852139065,1594.4927978515625,2355.0,0,1
2021-01-20,1602.4701021387557,1613.7373288946203,1583.7213928043916,1591.653564453125,2259.0,0,1
2021-01-21,1620.6776971095517,1744.3918316636596,1592.825093990524,1694.8160400390625,26135.0,1,0
2021-01-22,1678.2308148891168,1711.7170337376265,1631.5394947323457,1644.0235595703125,5982.0,0,1
2021-01-25,1685.577074375777,1685.577074375777,1613.4668252046208,1631.26904296875,2582.0,0,1
2021-01-26,1685.577074375777,1685.577074375777,1613.4668252046208,1631.26904296875,2582.0,0,1
2021-01-27,1628.6549295138375,1644.789618831874,1581.9636119155357,1606.5711669921875,3719.0,0,1
2021-01-28,1606.571336968094,1606.571336968094,1554.877321643243,1572.5443115234375,4127.0,0,1
2021-01-29,1580.431325845863,1605.8502551889378,1565.6938153929395,1573.9864501953125,2889.0,0,1
2021-02-01,1581.738104157235,1603.4612912058071,1550.3701068205944,1592.058837890625,3425.0,0,1
2021-02-02,1600.0361380417237,1694.5907165175392,1600.0361380417237,1670.5689697265625,9298.0,0,1
2021-02-03,1678.8168326399252,1822.811994526759,1657.634445758294,1779.72607421875,34976.0,1,0
2021-02-04,1802.7110945973152,1879.3733463344977,1802.7110945973152,1864.7259521484373,30412.0,1,0
2021-02-05,1881.1758538220893,1912.27339429016,1781.1228975335166,1798.06884765625,10259.0,0,1
2021-02-08,1813.7528491431683,1838.81120268252,1773.95709667894,1792.2550048828125,7806.0,0,1
2021-02-09,1801.0437558292788,1847.8253063224784,1786.5315888444643,1794.37353515625,6866.0,0,1
2021-02-10,1810.8684380496493,1828.670653904045,1705.6325544546787,1741.7327880859375,14699.0,0,1
2021-02-11,1739.6595453459202,1739.6595453459202,1665.746549118788,1676.4278564453125,14324.0,0,1
2021-02-12,1677.4645894285827,1712.528218382101,1677.4645894285827,1680.529296875,5383.0,0,1
2021-02-15,1681.9715773310006,1729.7446178446894,1677.4646867165018,1682.5574951171875,7997.0,0,1
2021-02-16,1696.393557280291,1707.615670434607,1672.0563489664928,1683.8643798828125,4410.0,0,1
2021-02-17,1693.8360145720217,1708.3606784339472,1688.3721744490986,1695.930419921875,3152.0,0,1
2021-02-18,1704.4447929972207,1709.2712293189577,1661.917950723014,1667.19970703125,3306.0,0,1
2021-02-19,1674.66677068554,1889.5777863906992,1649.6697499761983,1775.0648193359375,488684.0,1,0
2021-02-22,1821.279963327877,1957.875960577468,1766.8236479595307,1808.07568359375,97916.0,1,0
2021-02-23,1821.279926079205,1837.6714454139185,1758.445768629473,1767.506591796875,11196.0,0,1
2021-02-24,1784.8546632573502,1785.7197269200992,1691.9693695572228,1698.48046875,275148.0,0,1
