Date,Open,High,Low,Close,Volume,is_outlier,data_quality,return_1d,return_3d,return_7d,return_14d,return_30d,log_return_1d,momentum_7d,momentum_30d,sma_20,dist_from_sma_20,sma_50,dist_from_sma_50,sma_100,dist_from_sma_100,sma_200,dist_from_sma_200,ema_12,ema_26,golden_cross,above_sma_200,above_sma_50,rsi_14,rsi_overbought,rsi_oversold,macd_line,macd_signal,macd_histogram,macd_bullish_cross,bb_upper,bb_lower,bb_middle,bb_bandwidth,bb_pct_b,atr_14,natr_14,adx_14,di_plus,di_minus,adx_strong_trend,stoch_k,stoch_d,volume_ma_7d,volume_ma_30d,volume_ratio_7_30,volume_spike,obv,vwap_20d,vpt,vol_7d,vol_30d,vol_60d,vol_ratio_30_60,parkinson_vol_30d,price_to_high_6mo,price_to_low_6mo,price_to_high_1yr,price_to_low_1yr,day_range_pct,gap_pct,target_3d,target_5d,target_7d,target_10d,target_14d
2021-01-23,522.5,522.75,499.25,500.5,289548.0,0,1,0.0,-0.04118773946360155,-0.05832549388523045,0.008564231738035222,,0.0,,,510.9,-0.02035623409669207,,,,,,,514.5127672096949,507.85996881279067,0,0,0,61.70127713739904,0,0,6.652798396904188,9.163482765233567,-2.510684368329379,0,545.6681796444605,476.1318203555395,510.9,0.1361056161458621,0.35043795639647496,15.389651055460709,0.030748553557364052,58.72632202946231,12.229061239356058,15.824933290492712,1,21.5311004784689,36.68261562998405,214363.0,,,0,137591.0,511.2597269028186,8230.011491418107,0.27221391384422283,,,,,,,,,0.04695304695304695,0.04395604395604396,1.0,1.0,1.0,1.0,1.0
2021-01-24,522.5,522.75,499.25,500.5,289548.0,0,1,0.0,-0.045302813543156906,-0.05832549388523045,0.008564231738035222,,0.0,,,511.7375,-0.021959500720584307,,,,,,,512.3569568697418,507.31478593776916,0,0,0,61.70127713739904,0,0,5.042170931972635,8.339220398581382,-3.2970494666087475,0,544.5011974168218,478.9738025831782,511.7375,0.1280488430760763,0.3285068401005565,15.968961694356373,0.031906017371341404,55.44713351805522,10.943608046623558,14.161501353658792,1,21.5311004784689,21.5311004784689,231797.85714285713,,,0,137591.0,512.5364342973354,8230.011491418107,0.27221391384422283,,,,,,,,,0.04695304695304695,0.04395604395604396,1.0,1.0,1.0,1.0,1.0
2021-01-25,500.0,515.5,492.5,511.5,264763.0,0,1,0.0219780219780219,0.0219780219780219,-0.03262411347517735,0.03910614525139655,,0.02173998663640582,,,512.725,-0.0023891949875664785,,,,,,,512.22511735132,507.62480179423073,0,0,0,66.68402379444453,0,0,4.600315557089289,7.591439430282964,-2.9911238731936756,0,544.1138599078686,481.33614009213153,512.725,0.12243935797110934,0.480486707647305,16.471178716188064,0.032201717920211266,53.11622471509155,9.852078110738965,15.676205461466576,1,42.58373205741627,28.548644338118024,244187.7142857143,,,0,402354.0,513.3243310833766,14048.978524385118,0.32846410520804725,,,,,,,,,0.044965786901270774,-0.000999000999000999,1.0,1.0,1.0,1.0,1.0
2021-01-26,513.0,534.25,508.0,532.25,232259.0,0,1,0.040566959921798595,0.06343656343656345,0.0118821292775666,0.028999516674722114,,0.03976571838190764,,,514.5875,0.03432360871571895,,,,,,,515.30586852804,509.44889055021366,0,0,0,73.64864582113492,1,0,5.856977977826375,7.2445471397916466,-1.3875691619652715,0,545.9685515237595,483.2064484762405,514.5875,0.12196585235264949,0.7814198241035231,17.169665950746058,0.03225864903850833,49.9331465436387,16.57649111342287,13.96429765122915,1,81.12244897959184,48.41242717182567,250429.85714285713,,,0,634613.0,514.7547592213728,23471.02006886214,0.42299569665746395,,,,,,,,,0.04931892907468295,0.002932551319648094,1.0,1.0,1.0,1.0,1.0
2021-01-27,532.5,543.75,529.5,534.0,223887.0,1,0,0.0032879286049789513,0.066933066933067,0.02298850574712641,0.018112488083889433,,0.003282535186606075,,,516.5875,0.033706777651414374,,,,,,,518.1818887544954,511.26749125019785,0,0,0,74.13964872392543,1,0,6.91439750429754,7.178517212692826,-0.2641197083952864,0,547.5396170944991,485.6353829055008,516.5875,0.11983300832675649,0.7812812439749814,16.961118382835625,0.031762393975347615,47.776378144473625,19.58246287914281,13.126283329975973,1,80.97560975609755,68.22726359770189,251302.7142857143,,,0,858500.0,516.8135663130712,24207.144540445064,0.41793323623144235,,,,,,,,,0.026685393258426966,0.0004697040864255519,1.0,1.0,1.0,1.0,1.0
2021-01-28,533.25,550.5,529.0,534.5,252543.0,0,1,0.000936329588014928,0.04496578690127073,0.01955174058178355,0.00046794571829678056,,0.0009358915049050237,,,518.5,0.03085824493731919,,,,,,,520.69236740765,512.9884178242572,0,0,0,74.28706634200643,1,0,7.703949583392728,7.283603686832807,0.4203458965599207,1,548.88264740206,488.11735259793994,518.5,0.11719439692212162,0.7633081934610343,17.285324212633082,0.03233924080941643,46.26430837683485,20.631978497025045,11.96007894872146,1,72.41379310344827,78.17061727971254,263156.5714285714,,,0,1111043.0,518.804175737479,24443.608023591118,0.4180644427429944,,,,,,,,,0.040224508886810104,-0.0014044943820224719,1.0,1.0,1.0,1.0,1.0
2021-01-29,534.5,553.75,533.25,547.0,279607.0,0,1,0.023386342376052305,0.02771254109910748,0.09290709290709298,0.029162746942615225,,0.02311707195688121,,,521.0375,0.04982846724084154,,,,,,,524.7396954987807,515.5077942817196,0,0,0,77.70830079021317,1,0,9.231901217061136,7.673263192878473,1.5586380241826632,0,552.0660416147272,490.0089583852729,521.0375,0.1191029114592602,0.918364812667788,17.51494391173072,0.032020007151244465,45.08299370899867,20.23250101701599,10.960191490639865,1,88.9795918367347,80.78966489876018,261736.42857142858,,,0,1390650.0,521.2330746510448,30982.593056331974,0.24868251802069397,,,,,,,,,0.037477148080438755,0.0,1.0,1.0,1.0,1.0,0.0
2021-01-30,534.5,553.75,533.25,547.0,279607.0,0,1,0.0,0.02434456928838946,0.09290709290709298,0.029162746942615225,,0.0,,,523.575,0.04474048608126811,,,,,,,528.1643577297375,517.8405502608515,0,0,0,77.70830079021317,1,0,10.323807468886002,8.203372048079979,2.1204354208060234,0,554.3680699654119,492.7819300345882,523.575,0.11762620432760104,0.8803615558031718,17.728162203749957,0.032409802931901203,43.98605866029365,18.561365460888183,10.054917066752594,1,88.9795918367347,83.45765892563922,260316.2857142857,,,0,1390650.0,523.5396705889754,30982.593056331974,0.24868251802069397,,,,,,,,,0.037477148080438755,-0.022851919561243144,0.0,1.0,1.0,1.0,0.0
2021-01-31,534.5,553.75,533.25,547.0,279607.0,0,1,0.0,0.023386342376052305,0.09290709290709298,0.029162746942615225,,0.0,,,526.3125,0.03930649566559791,,,,,,,531.0621488482394,520.0005095007884,0,0,0,77.70830079021317,1,0,11.061639347450978,8.77502550795418,2.2866138394967983,0,555.0457903386338,497.5792096613662,526.3125,0.10918718570671908,0.859991837972422,17.926150617767817,0.03277175615679674,42.96747611506756,17.04519264378177,9.233587840355256,1,88.9795918367347,88.9795918367347,258896.14285714287,,,0,1390650.0,525.8818176256494,30982.593056331974,0.24868251802069397,,,,,,,,,0.037477148080438755,-0.022851919561243144,1.0,1.0,1.0,0.0,0.0
2021-02-01,549.0,555.75,539.0,549.25,219066.0,0,1,0.004113345521023826,0.004113345521023826,0.07380254154447696,0.03877068557919627,,0.004104908842738443,,,527.9125,0.0404186299812942,,,,,,,533.8602797946642,522.1671384266559,0,0,0,78.35574218148638,1,0,11.693141368008241,9.358648679964992,2.33449268804325,0,558.0504612868278,497.7745387131722,527.9125,0.11417786578960648,0.8539970702883245,17.842139859355832,0.032484551405290545,42.180396261352165,16.702877134153724,8.614417247809785,1,89.72332015810277,89.22750127719071,252368.0,,,0,1609716.0,527.8647247467512,31883.68720624058,0.2442028956283712,,,,,,,,,0.030496131087847066,0.003656307129798903,1.0,0.0,1.0,0.0,0.0
