Date,Close,High,Low,Open,Volume,is_outlier,data_quality,return_1d,return_3d,return_7d,return_14d,return_30d,log_return_1d,momentum_7d,momentum_30d,sma_20,dist_from_sma_20,sma_50,dist_from_sma_50,sma_100,dist_from_sma_100,sma_200,dist_from_sma_200,ema_12,ema_26,golden_cross,above_sma_200,above_sma_50,rsi_14,rsi_overbought,rsi_oversold,macd_line,macd_signal,macd_histogram,macd_bullish_cross,bb_upper,bb_lower,bb_middle,bb_bandwidth,bb_pct_b,atr_14,natr_14,adx_14,di_plus,di_minus,adx_strong_trend,stoch_k,stoch_d,volume_ma_7d,volume_ma_30d,volume_ratio_7_30,volume_spike,obv,vwap_20d,vpt,vol_7d,vol_30d,vol_60d,vol_ratio_30_60,parkinson_vol_30d,price_to_high_6mo,price_to_low_6mo,price_to_high_1yr,price_to_low_1yr,day_range_pct,gap_pct,target_3d,target_5d,target_7d,target_10d,target_14d,n50_close,n50_return_1d,n50_return_7d,n50_vol_30d,corr_n50_30d,beta_n50_30d
2021-01-28,358.081787109375,364.8730595362696,339.12478020326444,339.12478020326444,159930.0,0,1,0.04105114933192344,0.02704603290101315,-0.014786898647257574,-0.012796283135464215,,0.0402309232306785,,,362.32265625,-0.011704675563260537,,,,,,,357.03451062907936,361.46635953359635,0,0,0,60.21804308633497,0,0,-4.431848904516983,-3.0621776921888646,-1.369671212328118,0,379.7092461376492,344.93606636235086,362.32265625,0.09597296546453084,0.37804195164120163,11.07392584512337,0.030925688610185784,60.61241404430014,36.769554707453786,17.982869965813634,1,45.27428656597001,21.25028893012191,86968.28571428571,,,0,-55577.0,364.86638985759015,18150.853705263304,0.336253471958017,,,,,,,,,0.07190614060787294,-0.014062555240466741,0.0,0.0,0.0,0.0,1.0,510.3815002441406,-0.0018524973112856724,-0.034427394621858065,,,
2021-01-29,350.997314453125,364.4821654837707,349.8247057458175,364.2378744881382,81154.0,0,1,-0.01978450988373237,0.00672643051203492,-0.02945159426238364,-0.017505542050605283,,-0.019982843615572156,,,361.4285522460938,-0.02886113376528766,,,,,,,356.10571121739406,360.6908747128207,0,0,0,54.98651174123837,0,0,-4.585163495426627,-3.3667748528364174,-1.21838864259021,0,379.2296655948197,343.6274388973678,361.4285522460938,0.09850418976642064,0.20700602853822758,11.329892551754075,0.032279143130786433,58.73381731853919,33.371790372058356,16.321126855133294,1,28.354714462820482,26.213845653271232,92417.14285714286,,,0,-136731.0,364.4732330729496,16545.261590158887,0.35321815502151593,,,,,,,,,0.04175946405969067,0.017191847227021398,0.0,0.0,0.0,0.0,1.0,505.1964416503906,-0.010159182084910512,-0.07334247847015507,,,
2021-02-01,341.6165466308594,350.80188243522235,340.0530782380429,350.80188243522235,174412.0,0,1,-0.026726038735884416,-0.00681824291658395,-0.06008875766474009,-0.08839633410287784,,-0.02708967294966686,,,359.76981658935546,-0.05045801265539847,,,,,,,353.8766089733118,359.2779615215643,0,0,0,48.9254021089252,0,0,-5.401352548252476,-3.7736903919196294,-1.6276621563328462,0,378.4871252568021,341.05250792190884,359.76981658935546,0.10405157856147072,0.01506730264943264,11.302345670563222,0.03308488942362677,55.859438123451454,31.06361744054252,21.367743513645337,1,6.4638698797617495,26.69762363618408,95263.0,,,0,-311143.0,362.5988199549342,11883.919722155813,0.3699472049000679,,,,,,,,,0.03146453034312274,-0.0005567906358689428,1.0,0.0,1.0,1.0,1.0,535.6588134765625,0.06029807281828137,0.0005587520163696791,,,
2021-02-02,341.1767883300781,356.5671205945314,340.0530557479201,344.5480158972293,162766.0,0,1,-0.0012872863013173586,-0.047209881618841765,-0.04342470913035246,-0.07411843704745025,,-0.0012881155660719732,,,358.04756317138674,-0.04711880927739502,,,,,,,351.9227904128143,357.9371338777505,0,0,0,48.65464453375794,0,0,-6.014343464936189,-4.221821006522942,-1.7925224584132478,0,376.9611850830106,339.1339412597629,358.04756317138674,0.10564865597239367,0.05400465018970697,11.674611325995226,0.03421865650104073,53.59573203399552,31.45235612787304,19.208795518615766,1,5.391432069765028,13.403338804115755,109266.14285714286,,,0,-473909.0,361.01006366722135,11674.393280035592,0.364970482081414,,,,,,,,,0.048403248437389114,0.00858116884349153,0.0,0.0,1.0,1.0,1.0,562.581298828125,0.05026051037381185,0.07099461338277901,,,
2021-02-03,344.6457824707031,350.80190423797166,341.22570819540255,341.22570819540255,121481.0,0,1,0.010167731977325678,-0.0180956711657978,-0.011490959928428301,-0.06234205071414389,,0.010116388329541036,,,356.93848419189453,-0.03443927249543285,,,,,,,350.80325072941264,356.9525893290803,0,0,0,50.960167203250094,0,0,-6.149338599667658,-4.607324525151885,-1.542014074515773,0,376.2809160282562,337.5960523555329,356.93848419189453,0.10837963790961196,0.1822348444810729,11.52821879613082,0.03344947010082964,51.49371923664357,29.576632252517662,18.063240755576672,1,14.505843467654543,8.787048472393776,116090.71428571429,,,0,-352428.0,359.7081973378662,12909.579528373093,0.356149250214615,,,,,,,,,0.02778561795800632,0.0001433856786209416,0.0,0.0,1.0,1.0,1.0,564.9744262695312,0.004253833972780896,0.10254918629216969,,,
2021-02-04,343.4243469238281,351.1927838990089,342.34946041197463,344.64580209168827,141844.0,0,1,-0.0035440316086816637,0.0052918990921191345,-0.014994267211909551,-0.05714270393646703,,-0.003550326566122955,,,355.9344512939453,-0.0351472141138308,,,,,,,349.66803475932267,355.9504972990616,0,0,0,50.10703060914966,0,0,-6.282462539738958,-4.9423521280693,-1.3401104116696585,0,375.9158479065211,335.9530546813695,355.9344512939453,0.11227570997938795,0.18695620699897353,11.33644055976678,0.03301000835063454,49.57134346971177,28.174908824241818,17.056757784743517,1,11.296652094324877,10.397975877248152,125824.28571428571,,,0,-494272.0,358.65092141281093,12406.879908871251,0.356095025923206,,,,,,,,,0.025750426742445546,5.693087262449805e-08,0.0,1.0,1.0,1.0,1.0,588.0081787109375,0.04076954879797978,0.1474996191448812,,,
2021-02-05,340.4439697265625,349.8247511402704,339.4179593400384,344.8412082185491,137293.0,0,1,-0.008678409739908965,-0.002147914596132061,-0.01022727565112369,-0.04704594671960405,,-0.008716286436597796,,,354.8204849243164,-0.04051771475601371,,,,,,,348.2489478312057,354.80186562702465,0,0,0,47.99561071543122,0,0,-6.552917795818928,-5.264465261619225,-1.2884525341997026,0,375.67342953726524,333.9675403113676,354.8204849243164,0.11754081570232211,0.15528812681862936,11.270037076942867,0.03310394096859676,47.41142959542745,26.316565273090625,17.789699854000034,1,3.4660295001126875,9.756175020697372,139840.0,,,0,-631565.0,357.503497933316,11215.39500044993,0.35074963162637957,,,,,,,,,0.03056829530154552,0.00412568679947221,1.0,1.0,1.0,1.0,1.0,593.641845703125,0.009580933048478846,0.1609788471891147,,,
2021-02-08,330.9165954589844,342.10513562081525,329.8417090531965,340.8348044791823,354754.0,0,1,-0.027985146205498412,-0.039835644914313795,-0.07586309225521459,-0.08952821104622677,,-0.02838419295687569,,,353.5037551879883,-0.0638951054904421,,,,,,,345.5824320816332,353.032586355318,0,0,0,41.91518475388594,0,0,-7.450154273684802,-5.701603064032341,-1.7485512096524616,0,376.88313084904615,330.12437952693045,353.5037551879883,0.1322722902823198,0.016942623779588033,11.340993469134002,0.03427145578300157,44.30566872854729,24.283918545114375,22.447028992865206,1,2.2703938154175094,5.677691803285026,167672.0,,,0,-986319.0,354.4644259477303,1287.552443464545,0.22841294296755385,,,,,,,,,0.03705896511660065,0.0011480149081028524,1.0,1.0,1.0,1.0,1.0,626.4973754882812,0.05534571058790716,0.22750800173712538,,,
2021-02-09,331.2586364746094,337.1704674686709,330.37919473129114,332.2358005940035,153248.0,0,1,0.0010336169908631287,-0.03542471743250375,-0.056235980065174274,-0.08403133505973082,,0.0010330831766292034,,,351.3295669555664,-0.057128498050650706,,,,,,,343.37877121901414,351.41970117896926,0,0,0,42.19829966353325,0,0,-8.040929959955122,-6.169468443216897,-1.8714615167382247,0,374.47919723996944,328.1799366711634,351.3295669555664,0.13178298931687027,0.0664956581514017,11.016013416865842,0.03325502252289265,41.42174792358714,23.214574518823067,21.458572524568517,1,2.9928588148003126,2.9097607101101723,177971.14285714287,,,0,-833071.0,349.8499233857211,1445.9521800803377,0.22954895739536527,,,,,,,,,0.020501420912841017,0.003986518515909889,1.0,1.0,1.0,1.0,1.0,628.04296875,0.0024670386855398796,0.24316585979562855,,,
2021-02-10,343.8151550292969,350.11784485742504,333.7015017926746,333.7015017926746,429363.0,0,1,0.03790548282248318,0.009902320506490536,0.006435895509514733,-0.054039587120852106,,0.03720472358666038,,,350.0958953857422,-0.017940057107853544,,,,,,,343.44590718982687,350.8564014641787,0,0,0,51.536994997669446,0,0,-7.410494274351834,-6.417673609443885,-0.9928206649079483,0,371.99108155469,328.2007092167944,350.0958953857422,0.12508107897022494,0.3565725747207209,11.576241628719401,0.03366995741573107,39.898821426742366,28.50206189407779,18.961514301984398,1,38.28649288461383,14.516581838277219,214392.7142857143,,,0,-403708.0,347.8171076711594,17721.164001190184,0.31600644282135104,,,,,,,,,0.04774758420219022,0.007374495482029413,1.0,1.0,1.0,1.0,1.0,648.8331909179688,0.03310318433999471,0.21128071562358075,,,
