Date,Open,High,Low,Close,Volume,Open_Interest,is_outlier,data_quality,return_1d,return_3d,return_7d,return_14d,return_30d,log_return_1d,momentum_7d,momentum_30d,sma_20,dist_from_sma_20,sma_50,dist_from_sma_50,sma_100,dist_from_sma_100,sma_200,dist_from_sma_200,ema_12,ema_26,golden_cross,above_sma_200,above_sma_50,rsi_14,rsi_overbought,rsi_oversold,macd_line,macd_signal,macd_histogram,macd_bullish_cross,bb_upper,bb_lower,bb_middle,bb_bandwidth,bb_pct_b,atr_14,natr_14,adx_14,di_plus,di_minus,adx_strong_trend,stoch_k,stoch_d,volume_ma_7d,volume_ma_30d,volume_ratio_7_30,volume_spike,obv,vwap_20d,vpt,vol_7d,vol_30d,vol_60d,vol_ratio_30_60,parkinson_vol_30d,price_to_high_6mo,price_to_low_6mo,price_to_high_1yr,price_to_low_1yr,day_range_pct,gap_pct,target_3d,target_5d,target_7d,target_10d,target_14d
2024-01-26,695.409322831776,697.731331945695,679.5621410018516,686.9830322265625,98941852.0,0.0,0,1,0.0,0.005289511979262418,-0.06673171736411676,-0.13739510800753174,,0.0,,,760.5982696533204,-0.09678596489617519,,,,,,,723.6448472821235,755.9407400251234,0,0,0,20.920637985337365,0,1,-32.29589274299997,-23.00498984565511,-9.290902897344857,0,863.1617178883625,658.0348214182782,760.5982696533204,0.26969151082026643,0.1411234280166966,18.482411956680092,0.026903738650978375,81.30508288173388,3.493263406173144,41.06801141841655,1,18.012513979995532,19.77568428768042,111375645.14285715,,,0,-585180878.0,729.1877601246475,-24152739.370373987,0.2954857958232232,,,,,,,,,0.02644780160720382,0.01226564588924888,1.0,1.0,1.0,0.0,0.0
2024-01-29,693.2788688648152,700.3406850803747,692.2016426624417,696.438720703125,65645498.0,0.0,0,1,0.0137640786351243,-0.0008585621146705025,-0.02119572033281114,-0.11866092436371156,,0.013670214030583447,,,754.7704772949219,-0.07728409940046463,,,,,,,719.4592893468929,751.5331830383087,0,0,0,26.765038994732237,0,1,-32.07389369141583,-24.818770614807256,-7.255123076608577,0,858.0415072367923,651.4994473530514,754.7704772949219,0.27364883245563915,0.21757928324801806,18.11635773504667,0.026012852526000253,81.20731280304616,4.33809387334046,38.90511907569624,1,24.522097316992042,20.182375092327703,97743440.57142857,,,0,-519535380.0,726.5671896593605,-23249189.57386009,0.2693728414762162,,,,,,,,,0.011686659825168498,0.009164471817953677,1.0,0.0,0.0,0.0,0.0
2024-01-30,696.3908230536141,700.5321123941566,689.8556393766623,691.4834594726562,41728768.0,0.0,0,1,-0.007115143203792473,0.006551002040774634,-0.017917195773181183,-0.1278118057599411,,-0.007140576548260756,,,748.6709838867188,-0.07638538910266562,,,,,,,715.1553155200872,747.085055366779,0,0,0,25.693381044759377,0,1,-31.929739846691746,-26.240964461184156,-5.68877538550759,0,851.7534213206891,645.5885464527485,748.6709838867188,0.2753744692997684,0.22261266886178296,17.58493739807864,0.025430741917513666,81.14879553835353,4.1499639449591035,38.17084973490443,1,21.110744879115334,21.215118725367635,88047473.42857143,,,0,-561264148.0,723.5789017892502,-23546095.733897924,0.26623101359540374,,,,,,,,,0.015439954305828797,-6.877510983671818e-05,1.0,0.0,0.0,0.0,0.0
2024-01-31,689.1854007024332,706.1576749666016,687.8927526091608,700.2210083007812,65761040.0,0.0,0,1,0.012635947698284022,0.019269727858217234,-0.005507648823587008,-0.11306841708622739,,0.012556780316875784,,,743.6355529785156,-0.05838148069150842,,,,,,,712.8577297940401,743.6136444730014,0,0,0,30.943853610174244,0,0,-30.75591467896129,-27.143954504739582,-3.611960174221707,0,845.8044229220957,641.4666830349356,743.6355529785156,0.27478210135155223,0.2875353583644955,17.6335077523188,0.025182774500167943,80.38641200192987,6.121686899269667,35.34673127443738,1,27.125939055481968,24.252927083863113,81784688.0,,,0,-495503108.0,720.5787685780507,-22715142.67187316,0.2815660448168881,,,,,,,,,0.0260845106629464,-0.003323374896017941,0.0,0.0,0.0,0.0,0.0
2024-02-01,701.4178599181299,705.5112841214318,697.1089554241759,702.0402221679688,32690740.0,0.0,0,1,0.0025980566787080495,0.008043064376415554,0.027323295082923416,-0.1065379284330964,,0.002594687563628131,,,738.2613922119141,-0.0490627986591885,,,,,,,711.1934978515675,740.5341317096656,0,0,0,32.02087734332936,0,0,-29.34063385809816,-27.5832903754113,-1.75734348268686,0,837.0904275480314,639.4323568757968,738.2613922119141,0.2677345351624426,0.31674833756720766,16.97413781981431,0.024178298171287842,79.67848443239362,5.905238179898709,34.09695243991154,1,28.37834117359636,25.53834170273122,69959164.85714285,,,0,-462812368.0,718.3890256553217,-22630210.27648425,0.19461456618457879,,,,,,,,,0.01196844344802457,0.0017092483703867404,0.0,0.0,0.0,0.0,0.0
2024-02-02,706.1816237651476,708.9824002114282,690.4062678183428,692.3692016601562,44867754.0,0.0,0,1,-0.013775593195995861,0.0012809304045762193,-0.006696872058133185,-0.13549137543480627,,-0.01387135716737466,,,732.6107452392578,-0.054928956257609,,,,,,,708.2974522836581,736.9663591134057,0,0,0,29.396136555728418,0,1,-28.668906829747584,-27.80041366627856,-0.8684931634690258,0,828.1495481220736,637.0719423564419,732.6107452392578,0.26081736721351134,0.2893968609358638,17.088566003619384,0.024681291372644226,79.16995783662776,5.446717359522313,34.251104210378415,1,21.720516721632816,25.741598983570384,64082500.571428575,,,0,-507680122.0,715.6025776847432,-23248290.203206267,0.1832260565118489,,,,,,,,,0.02682980749077757,0.005899094476937238,0.0,0.0,0.0,0.0,0.0
2024-02-05,692.2972980120073,695.1220358820352,686.576053954148,691.7467041015625,38605046.0,0.0,0,1,-0.0008990832594822917,-0.012102327834726423,0.006934191459664785,-0.13953498083013904,,-0.0008994876772577039,,,727.3778198242187,-0.048985705573572444,,,,,,,705.7511833325665,733.6167550384544,0,0,0,29.23005064490485,0,1,-27.865571705887874,-27.813445274200422,-0.05212643168745146,0,819.6119203988251,635.1437192496123,727.3778198242187,0.2536071297771936,0.30684413085464585,16.478381426781368,0.02382140938160799,78.77934015766061,5.244948461251342,34.642578463342126,1,29.831369157629304,26.643409017619494,55462956.85714286,,,0,-546285168.0,713.8224591530953,-23282999.35379641,0.1572390741082035,,,,,,,,,0.012354206933282973,-0.00010385159821740841,0.0,0.0,0.0,0.0,0.0
2024-02-06,692.0819428119112,694.0687799185687,685.8818725644124,691.3876953125,41075740.0,0.0,0,1,-0.0005189887959478057,-0.015173670281415919,0.006411603896040452,-0.06074797080711758,,-0.0005191235172475453,,,722.4369445800781,-0.04297849037278368,,,,,,,703.541415944864,730.4886765402356,0,0,0,29.127838405223144,0,1,-26.94726059537163,-27.640208338434668,0.6929477430630371,1,811.014746945353,633.8591422148033,722.4369445800781,0.24521947009994433,0.3247345924234038,15.886133278736716,0.022977170965642293,78.43176179402636,5.051878431576633,33.67948587337874,1,47.38401369846043,32.978633192574186,47196369.428571425,,,0,-587360908.0,711.6683279943569,-23304317.202641677,0.15740671962622965,,,,,,,,,0.011841268523669396,0.00048462639339074667,0.0,0.0,0.0,1.0,0.0
2024-02-07,695.6487048996299,696.0317420167268,683.0332015338389,684.6130981445312,54837086.0,0.0,0,1,-0.009798550384826687,-0.01120226534777613,-0.016980133652899965,-0.03781594782159048,,-0.009846872093885043,,,717.0268737792969,-0.04520580304601349,,,,,,,700.6293670525051,727.0904855479612,0,0,0,27.19529112484885,0,1,-26.46111849545605,-27.404390369838946,0.9432718743828978,0,800.5806917072897,633.4730558513041,717.0268737792969,0.23305630788312937,0.3060305534888898,15.679876650461798,0.02290326710511104,78.17308893459133,4.752736836764484,32.9828830104524,1,38.23071650384307,38.482033119977594,45652310.571428575,,,0,-642197994.0,709.8569023865412,-23841641.15276975,0.13959149038758972,,,,,,,,,0.018986695577570847,0.006162981516765354,0.0,0.0,0.0,1.0,0.0
2024-02-08,684.5653014988382,688.9220715355453,670.5134952051483,671.734375,69106124.0,0.0,0,1,-0.018811680903324413,-0.02893014015520956,-0.02856045824685005,-0.04596593069825072,,-0.018990871380572746,,,711.1392395019532,-0.05541089889731073,,,,,,,696.183983659812,722.9900329147789,0,0,0,23.94309865007571,0,1,-26.806049254966865,-27.28472214686453,0.4786728918976664,0,789.6363589405402,632.6421200633662,711.1392395019532,0.22076441596321558,0.24900439160202584,15.874783770457174,0.0236325314905273,78.18475291678607,4.3590706475653365,35.88417208220191,1,17.538576031086336,34.38443541112994,49563361.428571425,,,0,-711304118.0,707.320108602047,-25141643.50592332,0.17092039645685508,,,,,,,,,0.02740454711789473,-6.981555833891836e-05,0.0,1.0,1.0,1.0,1.0
