Date,Open,High,Low,Close,Volume,Open_Interest,is_outlier,data_quality,return_1d,return_3d,return_7d,return_14d,return_30d,log_return_1d,momentum_7d,momentum_30d,sma_20,dist_from_sma_20,sma_50,dist_from_sma_50,sma_100,dist_from_sma_100,sma_200,dist_from_sma_200,ema_12,ema_26,golden_cross,above_sma_200,above_sma_50,rsi_14,rsi_overbought,rsi_oversold,macd_line,macd_signal,macd_histogram,macd_bullish_cross,bb_upper,bb_lower,bb_middle,bb_bandwidth,bb_pct_b,atr_14,natr_14,adx_14,di_plus,di_minus,adx_strong_trend,stoch_k,stoch_d,volume_ma_7d,volume_ma_30d,volume_ratio_7_30,volume_spike,obv,vwap_20d,vpt,vol_7d,vol_30d,vol_60d,vol_ratio_30_60,parkinson_vol_30d,price_to_high_6mo,price_to_low_6mo,price_to_high_1yr,price_to_low_1yr,day_range_pct,gap_pct,target_3d,target_5d,target_7d,target_10d,target_14d
2024-01-26,1326.9479158139593,1347.895377764627,1319.290261603849,1336.9522705078125,11808872.0,0.0,0,1,0.0,0.018440764511738372,-0.006242834210256065,0.04591554530636843,,0.0,,,1321.3739624023438,0.011789477126631415,,,,,,,1332.8976014941009,1319.0190980834327,0,0,0,66.32611262413351,0,0,13.878503410668145,15.072367896796283,-1.1938644861281382,0,1388.5738051831834,1254.1741196215041,1321.3739624023438,0.10171207348246206,0.6159103017270043,24.447159522365187,0.018285738437827298,66.74310903337566,22.74407732659255,13.269008040130812,1,60.17904563555513,58.16348557236038,13816734.0,,,0,53686980.0,1325.555456052413,727580.4383372734,0.20756528333980703,,,,,,,,,0.021395764674465818,-0.007482955760307931,1.0,1.0,1.0,1.0,1.0
2024-01-29,1348.241154971167,1435.1925816017736,1343.9677382154596,1430.795654296875,23893438.0,0.0,1,0,0.07019202245224365,0.07751828808754979,0.0585548244392049,0.12230184002273514,,0.06783809260849473,,,1328.9291015625,0.07665311310784345,,,,,,,1347.9588403868354,1327.298842988132,0,0,0,78.74361965942467,1,0,20.659997398703354,16.189893797177696,4.470103601525658,1,1409.1187850585775,1248.7394180664223,1328.9291015625,0.12068316270867101,1.1351599625615048,29.71809892033632,0.020770330711509227,66.13256270241193,38.35586030344539,10.135872906205762,1,97.30264954292696,72.91513147311878,15761591.142857144,,,0,77580418.0,1333.8058097192973,2404709.174894565,0.4650351975102613,,,,,,,,,0.06375812165235008,0.008443745309671053,0.0,0.0,0.0,1.0,1.0
2024-01-30,1442.5538891928095,1442.5786154279806,1387.6905949006082,1390.8524169921875,14093978.0,0.0,1,0,-0.027916800826681687,0.040315684915140704,0.029379591224600654,0.06231839372245629,,-0.028313882327490974,,,1333.9572204589845,0.042651440136608494,,,,,,,1354.5578521722741,1332.0065151365807,0,0,0,67.35804583683085,0,0,22.55133703569345,17.46218244488085,5.089154590812601,0,1416.521658593708,1251.392782324261,1333.9572204589845,0.1237887345537438,0.8445502556461716,31.515950463696043,0.0226594497580494,65.67888802796517,35.25839504050057,8.874973964664763,1,61.906499694820575,73.12939829110088,16286058.857142856,,,0,63486440.0,1339.3101391583627,2011250.3982129314,0.5141211122228332,,,,,,,,,0.039463583523887805,0.008217969393898357,1.0,1.0,1.0,1.0,1.0
2024-01-31,1387.2704457772934,1417.159997760743,1385.7883192326594,1409.6258544921875,15130226.0,0.0,0,1,0.013497792627487293,0.05435765029724782,0.04327394348191782,0.04906591915609981,,0.01340750893762709,,,1340.6255432128905,0.0514687428034032,,,,,,,1363.029852529184,1337.7560958295887,0,0,0,69.58405089086409,0,0,25.273756699595197,19.02449729582372,6.249259403771475,0,1425.0899033923563,1256.1611830334248,1340.6255432128905,0.12600738604016418,0.9084581421838067,31.505645325438007,0.02235036000867606,65.13879994843995,32.7506471133295,8.675020540312024,1,75.7321039101239,78.31375104929047,16958562.0,,,0,78616666.0,1345.0135692295937,2215475.0511679477,0.515880941057179,,,,,,,,,0.022255322877420585,-0.0025753783587192996,1.0,1.0,1.0,1.0,1.0
2024-02-01,1417.9011153905622,1426.1515960154993,1401.1531330404457,1409.650634765625,13349362.0,0.0,0,1,1.757932671186957e-05,-0.014778504161477302,0.07381968813281681,0.040799518349409425,,1.7579172197316585e-05,,,1346.9653442382812,0.046538161353210455,,,,,,,1370.2022805655595,1343.081617232258,0,0,0,69.58699908614663,0,0,27.120663333301536,20.643730503319283,6.476932829982253,0,1432.2027281273517,1261.7279603492107,1346.9653442382812,0.12656210384874142,0.8677100801739971,31.040846586124836,0.022020240916846626,64.78785050692099,32.93575801224234,8.175995629508213,1,75.75035321864259,71.12965227452902,16000553.714285715,,,0,91966028.0,1350.7035919689492,2215709.7239639405,0.4599246840697439,,,,,,,,,0.017733800388923995,0.005870537115932643,1.0,1.0,1.0,1.0,1.0
2024-02-02,1416.0980132616144,1457.3258137867138,1416.0980132616144,1440.3306884765625,19652588.0,0.0,0,1,0.021764296027886765,0.03557406298460841,0.0846990295689054,0.04560220059449227,,0.021530835072599303,,,1354.5661865234374,0.06331510619886653,,,,,,,1380.9912663980215,1350.2852521392435,0,0,0,73.06767384572818,1,0,30.70601425877794,22.656187254411016,8.049827004366925,0,1444.750019792782,1264.3823532540928,1354.5661865234374,0.13315529970640416,0.9754982065187854,32.22901318862226,0.022376120599576256,64.91138152615093,36.36479704220276,7.312106639106123,1,88.71015823291474,80.0642051205604,15676762.285714285,,,0,111618616.0,1358.7387779012374,2643434.466910036,0.4650474875157791,,,,,,,,,0.02862384371515823,0.004573742129418712,0.0,1.0,1.0,1.0,1.0
2024-02-05,1443.344407147716,1452.978230847658,1414.4676622830975,1421.8782958984375,8814432.0,0.0,0,1,-0.012811219482966152,0.00869198118579062,0.0635221071567258,0.046849178214515064,,-0.012893990849977513,,,1361.747088623047,0.04415739734475456,,,,,,,1387.2815786288547,1355.5884405658505,0,0,0,68.02507465775662,0,0,31.6931380630042,24.463577416129652,7.229560646874546,0,1449.1774887155912,1274.3166885305027,1361.747088623047,0.12840916029561836,0.8438804306725252,32.677695715475,0.022982062395732014,64.92105775470593,33.30366799472466,7.052955899414879,1,76.45225553261885,80.30425566139206,15248985.142857144,,,0,102804184.0,1363.1295513405494,2530510.8439403553,0.48805786833413606,,,,,,,,,0.027084293132294438,0.0020923796842384807,1.0,1.0,1.0,1.0,1.0
2024-02-06,1424.6695010773788,1424.6695010773788,1402.9069175392074,1410.7869873046875,9047984.0,0.0,0,1,-0.007800462687801102,0.0008061235252458943,0.05522614264219805,0.04863854077935481,,-0.007831045440434435,,,1368.5426391601563,0.030868127112543282,,,,,,,1390.8977953482135,1359.6772218057642,0,0,0,65.116148740602,0,0,31.2205735424493,25.814976641393585,5.405596901055716,0,1448.3372267574398,1288.748051562873,1368.5426391601563,0.1166124975780829,0.7647068517838254,31.8980448456676,0.02261010707690812,64.18528590159421,31.68069826554668,9.298019456686102,1,69.08431227076149,78.08224201209835,14854572.57142857,,,0,93756200.0,1366.3593233493523,2459932.382348534,0.4961810145857964,,,,,,,,,0.015425846519713696,0.001963040850256164,1.0,1.0,1.0,1.0,1.0
2024-02-07,1418.8152626559165,1432.2284612961826,1412.2197504708995,1424.966064453125,9296568.0,0.0,0,1,0.01005047344215071,-0.010667428074929597,-0.004074369268765254,0.05424188119320661,,0.010000303309623794,,,1374.3278747558593,0.03684578522156605,,,,,,,1396.1390675182,1364.5134323722355,0,0,0,67.055668436209,0,0,31.625635145964452,26.977108342307762,4.64852680365669,0,1452.7921340778832,1295.8636154338353,1374.3278747558593,0.11418564778213881,0.8226831562217538,31.151146927512418,0.02186097459062482,63.640116778912244,31.85637433332756,8.840885996085895,1,78.50345655406593,74.68000811914875,12769305.42857143,,,0,103052768.0,1370.963385189859,2553367.2921356824,0.27267053495745974,,,,,,,,,0.014041534970141219,0.005690636094232096,1.0,1.0,1.0,1.0,1.0
2024-02-08,1432.7224367107362,1442.0845126481563,1410.515263064875,1432.845947265625,14694634.0,0.0,0,1,0.005529874015297365,0.007713495169611173,0.030192657222576802,0.06045929637436109,,0.005514640396177434,,,1378.7853637695312,0.039208846363363525,,,,,,,1401.7862797870346,1369.575100142116,0,0,0,68.11660828007889,0,0,32.2111796449185,28.023922602829913,4.187257042088589,0,1460.003353843846,1297.5673736952162,1378.7853637695312,0.11781092577349231,0.8328116310599912,31.181011402924483,0.021761593744553515,63.3090051701365,31.810383208677905,8.20153136510504,1,83.73805344422021,77.10860742301588,12855113.42857143,,,0,117747402.0,1377.333328516971,2634626.7668565875,0.19169566494442652,,,,,,,,,0.022032549726316786,0.005443197877549453,1.0,1.0,1.0,1.0,1.0
