Date,Open,High,Low,Close,Volume,Open_Interest,is_outlier,data_quality
2024-01-01,670.7177465430235,687.1495844316054,663.9956310431492,668.32763671875,345389.0,0.0,0,1
2024-01-02,669.3359547237386,673.705341880342,653.5389957264957,655.40625,305502.0,0.0,0,1
2024-01-03,658.2444699603165,663.8089121588498,644.7255972814427,649.3190307617188,563606.0,0.0,0,1
2024-01-04,651.2982682125585,735.6234561490724,649.8791671700744,689.3155517578125,5567466.0,0.0,1,0
2024-01-05,693.7222845966735,715.4198157626852,686.4026721448965,703.4320068359375,1773157.0,0.0,0,1
2024-01-08,702.6850919646549,709.4445887898157,691.4069249705362,701.75146484375,703233.0,0.0,0,1
2024-01-09,713.2164064526875,746.9016845840302,699.1372975416756,705.9714965820312,2180666.0,0.0,0,1
2024-01-10,713.1417776394665,724.3826856209964,696.8966643251905,702.237060546875,712046.0,0.0,0,1
2024-01-11,702.2743754682145,715.9800348354985,697.643560271834,704.1043090820312,519655.0,0.0,0,1
2024-01-12,704.403035354925,728.2291884406354,699.846922634744,725.8017578125,691329.0,0.0,0,1
2024-01-15,729.5735211594998,732.5238070458184,717.025597516172,725.7269897460938,250347.0,0.0,0,1
2024-01-16,724.7933943674119,735.7354920681632,713.6272504708425,727.706298828125,527230.0,0.0,0,1
2024-01-17,716.988325360366,737.4160386315926,713.5151837604961,729.947021484375,554665.0,0.0,0,1
2024-01-18,724.494639047583,745.4078863602966,719.9012058122863,740.814453125,1151910.0,0.0,0,1
2024-01-19,746.15481718368,758.3292908885851,715.5691674814123,723.1502685546875,583987.0,0.0,0,1
2024-01-22,746.15481718368,758.3292908885851,715.5691674814123,723.1502685546875,583987.0,0.0,0,1
2024-01-23,732.1130743529387,733.1587245816197,681.1743538423136,690.099853515625,405389.0,0.0,0,1
2024-01-24,697.6061944276588,714.1500550832318,674.8630131333792,709.7433471679688,385759.0,0.0,0,1
2024-01-25,710.0794673514863,731.0673564019179,705.1125224421196,728.1918334960938,240699.0,0.0,0,1
2024-01-26,710.0794673514863,731.0673564019179,705.1125224421196,728.1918334960938,240699.0,0.0,0,1
2024-01-29,731.9636910356107,755.0056214253252,728.3038847370364,752.1673583984375,286121.0,0.0,0,1
2024-01-30,758.254679628633,796.6454173569904,728.9761067650264,737.3414306640625,581983.0,0.0,0,1
2024-01-31,744.4369665938626,775.2839832319861,740.6650764484052,765.760986328125,494719.0,0.0,0,1
2024-02-01,766.3211600143889,777.0765325597417,740.9265016903253,753.9599609375,306605.0,0.0,0,1
2024-02-02,757.3583253465715,784.2094658296096,753.9599469178382,770.8772583007812,671015.0,0.0,0,1
2024-02-05,769.3087593294456,795.450319112485,756.0885747831019,775.39599609375,236597.0,0.0,0,1
2024-02-06,791.7158007384744,804.2264041935399,747.6486005086914,793.3590087890625,279109.0,0.0,0,1
2024-02-07,799.1848428234802,827.5671082695476,786.37549044324,798.6619873046875,581238.0,0.0,0,1
2024-02-08,800.6412715562926,801.0520431626578,761.9144077092622,765.9849853515625,397142.0,0.0,0,1
2024-02-09,771.5494668999645,771.5494668999645,733.4948004390781,746.0427856445312,285190.0,0.0,0,1
2024-02-12,752.092693042898,753.9599472976516,715.3077842242502,727.2955322265625,220621.0,0.0,0,1
2024-02-13,728.9013486044571,730.955328256156,702.7224686296469,710.9757080078125,479218.0,0.0,0,1
2024-02-14,709.4072597706147,728.191887460737,703.6187711923354,716.8016357421875,236629.0,0.0,0,1
2024-02-15,716.8015827511849,746.6029482976926,716.8015827511849,736.519775390625,290330.0,0.0,0,1
