Date,Open,High,Low,Close,Volume,Open_Interest,is_outlier,data_quality
2024-01-02,21453.69921875,21465.80078125,21299.099609375,21346.150390625,1206200.0,0.0,0,1
2024-01-03,21362.150390625,21368.30078125,21216.55078125,21256.55078125,1049800.0,0.0,0,1
2024-01-04,21346.75,21551.55078125,21329.099609375,21516.599609375,1374200.0,0.0,0,1
2024-01-05,21529.94921875,21602.099609375,21380.400390625,21514.19921875,1052100.0,0.0,0,1
2024-01-08,21511.94921875,21554.05078125,21270.150390625,21292.44921875,899400.0,0.0,0,1
2024-01-09,21385.44921875,21479.44921875,21155.400390625,21197.25,1083300.0,0.0,0,1
2024-01-10,21138.849609375,21256.94921875,21095.849609375,21224.30078125,907100.0,0.0,0,1
2024-01-11,21299.25,21382.75,21170.80078125,21249.19921875,843900.0,0.0,0,1
2024-01-12,21303.75,21371.94921875,21217.900390625,21300.69921875,932000.0,0.0,0,1
2024-01-15,21374.5,21499.349609375,21336.69921875,21461.349609375,1111000.0,0.0,0,1
2024-01-16,21444.05078125,21513.5,21415.0,21447.150390625,1134200.0,0.0,0,1
2024-01-17,20733.69921875,21015.80078125,20486.900390625,20528.900390625,3102400.0,0.0,1,0
2024-01-18,20245.94921875,20522.099609375,20194.75,20324.05078125,2362600.0,0.0,0,1
2024-01-19,20510.349609375,20604.900390625,20371.150390625,20425.349609375,1835500.0,0.0,0,1
2024-01-22,20510.349609375,20604.900390625,20371.150390625,20425.349609375,1835500.0,0.0,0,1
2024-01-23,20735.5,20771.849609375,20081.30078125,20137.05078125,2807900.0,0.0,0,1
2024-01-24,19878.55078125,20324.5,19878.55078125,20206.400390625,2202400.0,0.0,1,0
2024-01-25,20204.150390625,20234.900390625,19941.30078125,20099.400390625,1851400.0,0.0,0,1
2024-01-26,20204.150390625,20234.900390625,19941.30078125,20099.400390625,1851400.0,0.0,0,1
2024-01-29,20246.400390625,20465.0,20235.75,20413.349609375,2025000.0,0.0,0,1
2024-01-30,20392.150390625,20466.30078125,20242.69921875,20285.5,1654100.0,0.0,0,1
2024-01-31,20249.25,20587.44921875,20160.55078125,20497.5,1655500.0,0.0,0,1
2024-02-01,20555.94921875,20570.19921875,20355.69921875,20516.650390625,1309000.0,0.0,0,1
2024-02-02,20661.05078125,20817.5,20408.30078125,20434.05078125,1324200.0,0.0,0,1
2024-02-05,20441.349609375,20458.05078125,20260.0,20315.849609375,1335600.0,0.0,0,1
2024-02-06,20351.80078125,20391.0,20240.55078125,20365.5,1405800.0,0.0,0,1
2024-02-07,20463.44921875,20537.599609375,20357.849609375,20443.650390625,1836500.0,0.0,0,1
2024-02-08,20496.650390625,20542.849609375,20021.349609375,20064.69921875,2084800.0,0.0,0,1
