Date,Open,High,Low,Close,Volume,is_outlier,data_quality,return_1d,return_3d,return_7d,return_14d,return_30d,log_return_1d,momentum_7d,momentum_30d,sma_20,dist_from_sma_20,sma_50,dist_from_sma_50,sma_100,dist_from_sma_100,sma_200,dist_from_sma_200,ema_12,ema_26,golden_cross,above_sma_200,above_sma_50,rsi_14,rsi_overbought,rsi_oversold,macd_line,macd_signal,macd_histogram,macd_bullish_cross,bb_upper,bb_lower,bb_middle,bb_bandwidth,bb_pct_b,atr_14,natr_14,adx_14,di_plus,di_minus,adx_strong_trend,stoch_k,stoch_d,volume_ma_7d,volume_ma_30d,volume_ratio_7_30,volume_spike,obv,vwap_20d,vpt,vol_7d,vol_30d,vol_60d,vol_ratio_30_60,parkinson_vol_30d,price_to_high_6mo,price_to_low_6mo,price_to_high_1yr,price_to_low_1yr,day_range_pct,gap_pct,target_3d,target_5d,target_7d,target_10d,target_14d,btc_close,btc_return_1d,btc_return_7d,btc_vol_30d,corr_btc_30d,beta_btc_30d
2024-01-30,101.67,106.49,100.95,101.4,6990527.25,0,1,-0.0027537372147915518,0.07551972846839217,0.20213396561944297,0.038827988935560054,,-0.0027575357241158703,,,93.8615,0.08031514518732386,,,,,,,94.9665854189702,96.20202208780276,0,0,0,50.2628252889734,0,0,-1.2354366688325626,-2.9320412598762564,1.6966045910436938,0,104.37351473002253,83.34948526997748,93.8615,0.22398991556756556,0.8585658978611346,7.456236098142577,0.07353290037615953,33.257942764828,34.031374411238254,18.09632789935501,1,81.48417606402332,80.92308376595274,5124671.950000001,6138912.532000001,0.8347849758873223,0,-8470949.190000005,94.05769963047295,-580383.6291054436,0.4988351251436505,,,,0.9651799766603631,,,,,0.05463510848126225,-9.83477576711754e-05,0.0,0.0,0.0,1.0,1.0,42941.1,-0.008350518558888909,0.07628278392685273,,,
2024-01-31,101.4,102.73,95.9,96.96,8609956.87,0,1,-0.043786982248520845,0.010210460512606767,0.09226089895234879,-0.05034280117531831,-0.11782367391502147,-0.04477456883607861,,,93.71450000000002,0.03463178056757469,,,,,,,95.27326458528248,96.25816859981737,0,0,0,45.524177782073735,0,0,-0.9849040145348908,-2.542613810807983,1.5577097962730924,0,103.9495450080002,83.47945499199983,93.71450000000002,0.21843033912575285,0.658548399028199,7.411504948275251,0.07643878865795432,32.21846708705859,31.791282931351702,21.77210035533684,1,65.3328483084758,79.68321308553278,5489109.481428571,6279134.082,0.8741825560253375,0,-17080906.060000002,93.78366702334715,-957387.6577326637,0.616524458925793,0.7629310031135996,,,0.9624654210054973,,,,,0.07044141914191418,0.0,1.0,0.0,1.0,1.0,1.0,42580.0,-0.008409193057467013,0.062245914170131034,0.4451380071412247,0.7892,1.3470612346256399
2024-02-01,96.96,98.11,93.11,97.81,6556006.07,0,1,0.008766501650165015,-0.038060582218725436,0.1254170981475089,0.036122881355932224,-0.08357537711983509,0.00872829898139722,,,93.999,0.040542984499835184,,,,,,,95.6635315721621,96.37311907390496,0,0,0,46.562833386608816,0,0,-0.7095875017428597,-2.1760085489949583,1.4664210472520987,0,104.36294133522571,83.63505866477428,93.999,0.22051173598071722,0.6838586246646776,7.239254594827019,0.0740134402906351,30.818366522633475,30.222885319468688,23.450839670617942,1,68.424881775191,71.74730204923004,5853867.7485714285,6236622.082666667,0.9386279416931449,0,-10524899.990000002,93.97394156716778,-899914.4197015169,0.5722195997379034,0.7599876844254303,,,0.9515575263153554,,,,,0.05111951743175544,0.0,0.0,0.0,1.0,1.0,1.0,43082.94,0.011811648661343321,0.07812224341227947,0.4434501221896119,0.8119,1.385083617157293
2024-02-02,97.81,102.57,97.39,100.58,5487861.84,0,1,0.028320212657192423,-0.00808678500986204,0.08994364976159508,0.07434308908352905,0.020909460008120107,0.027926609441417068,,,94.2355,0.0673260077147147,,,,,,,96.419911330291,96.68473988324533,0,0,0,49.914243236885284,0,0,-0.2648285529543273,-1.7937725497868322,1.528943996832505,0,104.98595453139443,83.48504546860558,94.2355,0.22816145786660919,0.7950805466630377,7.092164980910803,0.07051267628664548,30.024666407379335,33.138028346257705,22.22740356873889,1,78.50127319025101,70.75300109130593,5967302.504285715,6012182.131333333,0.9925352183172026,0,-5037038.150000002,94.27940077605678,-744497.0053594256,0.4984743149492727,0.7285378375035506,,,0.8447586116190112,,,,,0.05150129250347974,0.0,0.0,1.0,1.0,1.0,1.0,43200.0,0.0027170847671955656,0.032911871815636706,0.42177043357842675,0.7897,1.360368645602983
2024-02-03,100.57,101.24,96.53,97.96,2787373.11,0,1,-0.026048916285543844,0.010313531353135286,0.0390326686465845,0.054694229112833836,-0.06624725955580979,-0.02639419865985171,,,94.44300000000001,0.03723939307307033,,,,,,,96.65684804870777,96.77920359559752,0,0,0,46.91700927454849,0,0,-0.12235554688975014,-1.4594891492074158,1.3371336023176656,0,105.31835136758447,83.56764863241555,94.44300000000001,0.23030508068537542,0.6616959250844485,6.922010339417174,0.07066160003488337,29.14599119445789,31.527429836601378,22.03452947279346,1,68.9705347399054,71.9655632351158,5974664.741428571,5863911.803333333,1.0188872107578903,0,-7824411.260000002,94.25713408476177,-817105.0541583915,0.5423432075742088,0.7080016868807311,,,0.8257410182417029,,,,,0.04808084932625555,-9.942334460136326e-05,0.0,1.0,1.0,1.0,1.0,43011.09,-0.004372916666666726,0.02114070943383317,0.41231887742551737,0.7767,1.3287434725826885
2024-02-04,97.95,98.59,95.08,95.49,2914876.34,0,1,-0.025214373213556573,-0.02371945608833459,-0.005105230256303495,0.04830387528817637,-0.044526716029617774,-0.02553770212185586,,,94.4995,0.010481536939348857,,,,,,,96.4773329642912,96.68370703296067,0,0,0,44.2210955067135,0,0,-0.20637406866947572,-1.2088661330998278,1.002492064430352,0,105.38477247440804,83.61422752559196,94.4995,0.23037735595231806,0.5454972533911634,6.678295315173091,0.06993711713449671,28.08449602205425,30.343837815156615,22.758182936925397,1,59.98544925427428,69.15241906147689,5588445.899999999,5737622.107666667,0.97400034284807,0,-10739287.600000001,94.29860404700615,-890601.8340665174,0.5628088638802572,0.6980154439352458,,,0.8088071639210146,,,,,0.03675777568331768,-0.00010208248264588511,1.0,1.0,1.0,1.0,1.0,42582.88,-0.00995580442160382,0.013128862322292045,0.4132158346781051,0.7934,1.3357496406021994
2024-02-05,95.48,98.7,94.11,95.66,3891146.06,0,1,0.0017802911299613644,-0.04891628554384575,-0.05920535011801742,0.1409828244274809,0.020155700117308273,0.0017787082900397946,,,94.402,0.013325988856168255,,,,,,,96.35158943132332,96.60787688237099,0,0,0,44.45765291636157,0,0,-0.2562874510476689,-1.018350396689396,0.7620629456417272,0,105.20458175769011,83.5994182423099,94.402,0.2288634087771468,0.5582268215236813,6.529131364089299,0.068253516245968,26.930604789463917,28.82013681809674,22.676570027637048,1,60.60385594761731,63.186613313932334,5319678.22,5695611.041999999,0.9339960507787779,0,-6848141.540000001,94.27665855194553,-883674.4612505153,0.39358618195315964,0.6726447817653377,,,0.7972922934467701,,,,,0.04798243780054363,-0.00010472300764468432,1.0,1.0,1.0,1.0,1.0,42708.7,0.0029547085589325395,-0.013717389446847417,0.41324945360948445,0.8162,1.3254912284792824
2024-02-06,95.66,97.88,92.88,96.88,4279238.07,0,1,0.012753501986201066,-0.01102490812576562,-0.044575936883629264,0.14854771784232357,0.0831842576028623,0.012672860992685917,,,94.14099999999999,0.029094655888507712,,,,,,,96.43288336496589,96.62803415034351,0,0,0,46.22035964300106,0,0,-0.19515078537762065,-0.8537104744270411,0.6585596890494204,0,104.39897538247038,83.8830246175296,94.14099999999999,0.21792790351643582,0.6335058770310863,6.419907695225778,0.06626659470711992,25.640311290736776,27.216857379341327,22.783571453273556,1,58.55972401897369,59.716343073621765,4932351.194285714,5653341.172666666,0.8724665721809138,0,-2568903.4700000007,93.92712108601985,-829099.1900253431,0.41377296669925995,0.6577918911926648,,,0.783797727620908,,,,,0.05161023947151115,0.0,1.0,1.0,1.0,1.0,1.0,43098.95,0.009137482526979213,0.0036759654503493167,0.41421722516584875,0.8352,1.3232466601710577
2024-02-07,96.87,101.58,94.62,101.14,4577672.06,0,1,0.043971924029727605,0.05916849931930046,0.04311056105610578,0.13934887912583083,0.033306089088680046,0.04303259640700026,,,94.47800000000001,0.07051377040157487,,,,,,,97.15705515497113,96.96225384291066,0,0,0,51.95420138793449,0,0,0.19480131206047702,-0.6440081171295375,0.8388094291900146,0,105.20397751648822,83.7520224835118,94.47800000000001,0.2270576751516377,0.8105544454926843,6.458485716995365,0.06385688863946376,24.972346957716038,29.21390525615485,21.02980279843347,0,75.00000000000001,64.72119332219701,4356310.507142858,5483347.003666666,0.7944619416261328,0,2008768.589999999,94.00548046171413,-627810.1419700164,0.40813150932389175,0.6161665300435218,,,0.7427746822724777,,,,,0.06881550326280397,-0.00010322047894292843,1.0,1.0,1.0,1.0,1.0,44349.6,0.029018108329785353,0.04155941756693271,0.3702708407684786,0.8064,1.3290192673395906
2024-02-08,101.14,104.98,100.51,102.76,5082811.46,0,1,0.016017401621514882,0.07422120008362953,0.05060832225743783,0.18237256932458878,0.03421900161030611,0.015890476589846006,,,94.935,0.082424816980039,,,,,,,98.01904666959095,97.39171652121357,0,0,0,53.964279134010255,0,0,0.6273301483773821,-0.3897404640281536,1.0170706124055358,0,106.26869173839896,83.60130826160105,94.935,0.23876740376887248,0.8452096713328024,6.316451022924268,0.06146799360572467,24.798073534162217,31.58202805559401,19.966782506909546,0,81.83146614710185,71.79706338869185,4145854.134285714,5366943.03,0.7724796240823361,0,7091580.049999999,94.57342641396154,-546396.709448758,0.4123610247410817,0.6163451222430635,,,0.7275243908253154,,,,,0.043499416115219916,0.0,1.0,1.0,1.0,1.0,0.0,45288.65,0.021173809910348673,0.05119683104263539,0.3726565029908901,0.8216,1.3458034297163528
