Date,Open,High,Low,Close,Volume,is_outlier,data_quality,return_1d,return_3d,return_7d,return_14d,return_30d,log_return_1d,momentum_7d,momentum_30d,sma_20,dist_from_sma_20,sma_50,dist_from_sma_50,sma_100,dist_from_sma_100,sma_200,dist_from_sma_200,ema_12,ema_26,golden_cross,above_sma_200,above_sma_50,rsi_14,rsi_overbought,rsi_oversold,macd_line,macd_signal,macd_histogram,macd_bullish_cross,bb_upper,bb_lower,bb_middle,bb_bandwidth,bb_pct_b,atr_14,natr_14,adx_14,di_plus,di_minus,adx_strong_trend,stoch_k,stoch_d,volume_ma_7d,volume_ma_30d,volume_ratio_7_30,volume_spike,obv,vwap_20d,vpt,vol_7d,vol_30d,vol_60d,vol_ratio_30_60,parkinson_vol_30d,price_to_high_6mo,price_to_low_6mo,price_to_high_1yr,price_to_low_1yr,day_range_pct,gap_pct,target_3d,target_5d,target_7d,target_10d,target_14d,btc_close,btc_return_1d,btc_return_7d,btc_vol_30d,corr_btc_30d,beta_btc_30d
2024-01-20,314.7,317.3,312.2,317.2,326090.187,0,1,0.007944073721004141,0.025210084033613578,0.04963600264725354,0.031544715447154426,,0.007912685690331748,,,309.835,0.023770716671776944,,,,,,,311.1502938861957,310.79894905278593,0,0,0,52.067196163421066,0,0,0.35134483340976885,-0.9883277439496121,1.339672577359381,0,324.4539890931371,295.21601090686283,309.835,0.09436628588208011,0.7518984025871356,12.409687527374901,0.03912259624014786,57.24068204833508,23.435688314098073,13.705872563831687,1,89.30817610062883,77.87061994609157,886146.4648571428,,,0,2364027.444,309.7279308782585,68258.98925433522,0.3981911431836444,,,,,,,,,0.016078184110971068,0.0,0.0,0.0,0.0,0.0,0.0,41696.04,0.0008884028264701804,-0.026884574982397047,,,
2024-01-21,317.3,321.7,316.1,318.6,359764.313,0,1,0.004413619167717542,0.017891373801917076,0.06377295492487489,0.053571428571428825,,0.004403907715255244,,,310.09000000000003,0.02744364539327289,,,,,,,312.29640251908864,311.3768046785055,0,0,0,53.27443045262223,0,0,0.9195978405831511,-0.6067426270430595,1.5263404676262105,0,325.1494471136367,295.03055288636335,310.09000000000003,0.09712952441959868,0.7825468935142376,11.923281275419548,0.03742398391531559,55.383875811768014,25.285371768970364,13.246070526213503,1,90.57750759878428,87.11074152663872,881390.66,,,0,2723791.757,309.818439482159,69846.85192205275,0.3835840982497297,,,,,,,,,0.017576898932831028,0.0003152585119798952,0.0,0.0,0.0,0.0,0.0,41580.33,-0.00277508367701107,-0.00364273758846545,,,
2024-01-22,318.7,320.3,303.6,305.9,704437.647,0,1,-0.03986189579409938,-0.027963139497934608,-0.03653543307086626,0.007243990780375409,,-0.04067814631909058,,,309.775,-0.012509079170365589,,,,,,,311.312340593075,310.9711154430607,0,0,0,42.75473210503114,0,0,0.3412251500143384,-0.41714907163157994,0.7583742216459184,0,324.91197112162274,294.6380288783772,309.775,0.09772881040511833,0.3720021340839891,12.264475470032435,0.04009308751236494,52.03721636448114,22.826087114024183,19.237769447483124,1,51.97568389057744,77.28712252999685,738518.7681428572,,,0,2019354.1100000003,309.661857809983,41766.63184389819,0.29696898514059783,,,,,,,,,0.05459300424975479,0.00031387319522902034,0.0,0.0,1.0,0.0,0.0,39568.02,-0.048395719803089654,-0.06923085970487708,,,
2024-01-23,305.9,311.7,290.3,298.8,928195.378,0,1,-0.02321019941157232,-0.058007566204287486,-0.05203045685279184,-0.007638658253072084,,-0.02348379789819544,,,308.925,-0.03277494537509104,,,,,,,309.3873651172173,310.0695513361673,0,0,0,38.21193993372404,0,0,-0.6821862189499939,-0.47015650109526275,-0.21202971785473113,0,324.5391467569435,293.3108532430565,308.925,0.10108697422962538,0.17577479071991312,12.917012936458688,0.04322962830140123,48.99387506423619,20.12489723675016,24.315854883783395,1,30.39513677811552,57.64944275582575,735239.6157142856,,,0,1091158.7320000003,308.5923717269827,20223.032027618443,0.31672437310284607,,,,,,,,,0.07161981258366792,0.0,1.0,1.0,1.0,1.0,1.0,39897.6,0.008329453937801379,-0.07511599415363968,,,
2024-01-24,298.8,300.7,290.3,293.1,802312.815,0,1,-0.01907630522088355,-0.08003766478342744,-0.05268261150614073,-0.04153041203400909,,-0.01926060554181551,,,307.39500000000004,-0.04650368418484365,,,,,,,306.88161663764544,308.81254753348827,0,0,0,34.9970147545078,0,0,-1.9309308958428346,-0.7623113800447772,-1.1686195157980575,0,322.90981125960144,291.88018874039864,307.39500000000004,0.1009438101439607,0.03931118591102746,12.73722629814021,0.04345693039283592,46.16791528543731,18.95117830362823,22.897712027380376,1,12.269938650306761,31.54691977299991,696806.6612857142,,,0,288845.91700000037,307.2478946205439,4917.867886052167,0.3177479251898484,,,,,,,,,0.035482770385533866,0.0,1.0,1.0,1.0,1.0,1.0,40084.88,0.004694016682707636,-0.06291410390381547,,,
2024-01-25,293.0,296.7,287.5,292.1,1004156.719,0,1,-0.003411804844762889,-0.045112781954887105,-0.06677316293929703,-0.05223880597014918,,-0.0034176383231514776,,,306.125,-0.04581461821151483,,,,,,,304.6075217703154,307.57458104952616,0,0,0,34.4494147294607,0,0,-2.967059279210787,-1.203260959877979,-1.7637983193328077,0,322.3012496466759,289.9487503533241,306.125,0.10568395032536317,0.0664940790870518,12.48456727684448,0.04274073015010092,43.795060234346174,17.95365622853251,23.29443639807437,1,13.45029239766089,18.705122608694392,708668.7798571428,,,0,-715310.8019999997,305.676353185478,1491.8811272667594,0.29112470278913005,,,,,,,,,0.03149606299212594,-0.0003411804844763655,1.0,1.0,1.0,1.0,1.0,39961.09,-0.003088196846292135,-0.03306297259693913,,,
2024-01-26,292.1,304.2,290.7,302.2,709942.404,0,1,0.034577199589181706,0.011378848728246238,-0.039720368605020706,0.018880647336479983,,0.033992840444943835,,,305.86,-0.011966259072778476,,,,,,,304.23713380565147,307.1764639347465,0,0,0,43.98303952423432,0,0,-2.9393301290950262,-1.5504747937213885,-1.3888553353736377,0,322.1148648588338,289.6051351411662,305.86,0.10628957600754461,0.3874183196296776,12.557098185641303,0.04155227725228757,40.778913510819834,20.841184367200654,21.505608126691936,1,42.982456140350855,22.9008957294395,690699.9232857144,,,0,-5368.3979999996955,305.2575798034182,26039.701327198232,0.3883955153905845,,,,,,,,,0.04467240238252813,0.0,1.0,0.0,0.0,0.0,1.0,41823.51,0.04660583582680067,0.003948243634093407,,,
2024-01-27,302.2,307.7,301.9,305.6,285357.667,0,1,0.011250827266710894,0.042647560559536,-0.03656998738965944,0.011250827266710894,,0.011188007453726338,,,306.02,-0.0013724593163844164,,,,,,,304.44680552785894,307.05968882846895,0,0,0,46.788653753672854,0,0,-2.612883300610008,-1.7629564950991126,-0.8499268055108955,0,322.19426155476987,289.8457384452301,306.02,0.10570721884040184,0.4870164087993217,12.074448315238353,0.03951062930379042,38.103683435585175,22.196591638870352,20.767730420704225,1,52.92397660818722,36.45224171539965,684880.9918571429,,,0,279989.2690000003,305.2872711524619,29250.21114784684,0.39370964375613937,,,,,,,,,0.018979057591623074,0.0,1.0,0.0,0.0,0.0,1.0,42120.63,0.007104138318376307,0.010182981405428393,,,
2024-01-28,305.7,309.1,303.1,305.3,409403.057,0,1,-0.0009816753926702448,0.045190003423485114,-0.04174513496547394,0.01936560934891496,,-0.0009821575515333535,,,306.1,-0.002613524991832771,,,,,,,304.57806621588065,306.9293415078416,0,0,0,46.567031183265264,0,0,-2.351275291960974,-1.880620254471485,-0.4706550374894889,0,322.241740596159,289.95825940384105,306.1,0.1054671061493562,0.4752195249566092,11.640559149864186,0.03812826449349553,35.75997422455852,22.238443151812376,20.00312317289076,1,52.046783625731045,49.31773879142304,691972.241,,,0,-129413.78799999965,305.5812257591466,28848.310241105966,0.3894242580716825,,,,,,,,,0.01965280052407468,0.0003272251308899407,0.0,0.0,0.0,1.0,1.0,42031.06,-0.0021265114030820653,0.010839981308469637,,,
2024-01-29,305.3,311.0,304.4,310.7,442799.505,0,1,0.017687520471667106,0.028127068166776903,0.015691402419091283,-0.021417322834645702,,0.017532916658169456,,,306.58000000000004,0.01343858046839307,,,,,,,305.51990218266826,307.2086495442978,0,0,0,51.060579815577434,0,0,-1.6887473616295665,-1.8422456759031014,0.15349831427353489,1,322.6665553540184,290.4934446459817,306.58000000000004,0.10494197504089205,0.6280572474756316,11.280519210588176,0.03630678857608039,33.77894285969672,22.512153167099246,19.16716486233229,1,67.83625730994152,57.602339181286595,654595.3635714286,,,0,313385.71700000035,306.0664140202212,36680.33555063753,0.3232949348177861,,,,,,,,,0.021242355970389516,0.0,0.0,0.0,0.0,1.0,1.0,43302.7,0.03025476873531141,0.09438632511811318,,,
