Date,Open,High,Low,Close,Volume,is_outlier,data_quality,return_1d,return_3d,return_7d,return_14d,return_30d,log_return_1d,momentum_7d,momentum_30d,sma_20,dist_from_sma_20,sma_50,dist_from_sma_50,sma_100,dist_from_sma_100,sma_200,dist_from_sma_200,ema_12,ema_26,golden_cross,above_sma_200,above_sma_50,rsi_14,rsi_overbought,rsi_oversold,macd_line,macd_signal,macd_histogram,macd_bullish_cross,bb_upper,bb_lower,bb_middle,bb_bandwidth,bb_pct_b,atr_14,natr_14,adx_14,di_plus,di_minus,adx_strong_trend,stoch_k,stoch_d,volume_ma_7d,volume_ma_30d,volume_ratio_7_30,volume_spike,obv,vwap_20d,vpt,vol_7d,vol_30d,vol_60d,vol_ratio_30_60,parkinson_vol_30d,price_to_high_6mo,price_to_low_6mo,price_to_high_1yr,price_to_low_1yr,day_range_pct,gap_pct,target_3d,target_5d,target_7d,target_10d,target_14d,spy_close,spy_return_1d,spy_return_7d,spy_vol_30d,corr_spy_30d,beta_spy_30d
2024-02-07,24.65999984741211,25.285999298095703,24.489999771118164,25.21999931335449,13952200.0,0,1,0.025203208222378093,0.02938772707569348,0.022294253561395472,0.08054837825517946,,0.024890844865327038,,,24.217999839782713,0.04137416302752628,,,,,,,24.4570030826106,24.758760913837918,0,0,0,25.835706854348018,0,1,-0.3017578312273166,-0.5192485664137123,0.21749073518639572,0,26.278776864517216,22.15722281504821,24.217999839782713,0.17018556762472847,0.7431120547117092,1.50775220832034,0.059783990855303296,83.380587099651,9.275860066815817,34.35793006719424,1,97.97917917403471,85.79172560451013,11394800.0,,,0,-3304800.0,24.6020168178154,-999890.1748627971,0.2689483951791267,,,,,,,,,0.031562234284282537,0.0024390026427632983,1.0,1.0,1.0,1.0,1.0,483.5139465332031,0.008340432670724374,0.013902763972021281,0.10698673175866329,,
2024-02-08,25.7549991607666,26.07999992370605,25.63999938964844,26.030000686645508,18568500.0,0,1,0.032117422495808956,0.07606449408702232,0.046221927840429666,0.09369754290212229,,0.03161244207493541,,,24.18799991607666,0.07615349664957434,,,,,,,24.699002714000585,24.852926822934776,0,0,0,31.37960072492183,0,0,-0.1539241089341914,-0.44618367491780814,0.29225956598361674,0,26.113994706368945,22.262005125784373,24.18799991607666,0.15925209169627666,0.9781946399474188,1.461484237036856,0.05614614669551888,80.57517172755243,12.766578388449023,32.91380908000075,1,98.76849153602197,94.44162088573462,11827257.142857144,,,0,15263700.0,24.302754363473195,-403517.81524936855,0.31930370421180665,,,,,,,,,0.016903592871718554,0.02121331728700008,1.0,1.0,1.0,1.0,1.0,483.7275695800781,0.00044181361966222354,0.015135919647741636,0.10698103726205482,,
2024-02-09,26.850000381469727,27.56999969482422,26.75,27.149999618530277,20742800.0,0,1,0.04302723405072273,0.10365850396414511,0.11728396999795465,0.18300647999860398,,0.042127286944015206,,,24.29699993133545,0.11742189139636783,,,,,,,25.076079160851307,25.023080363349255,0,0,0,38.25272759599824,0,0,0.0529987975020525,-0.34634718043383605,0.39934597793588855,0,26.61599312447001,21.97800673820089,24.29699993133545,0.1908872041559165,1.1151375725554538,1.4670924349755599,0.05403655453366001,76.46193823310244,19.063749970450758,30.445991387857806,1,92.43243001747894,96.39336690917854,12880614.285714285,,,0,36006500.0,24.41853311468349,488987.4952179629,0.30262321181408736,,,,,,,,,0.030202567452876014,0.03150210039160365,1.0,1.0,1.0,1.0,1.0,486.5232238769531,0.0057793983074023725,0.03793911857820298,0.10683680557167156,,
2024-02-12,27.530000686645508,28.86000061035156,27.51499938964844,28.65999984741211,35138600.0,0,1,0.05561695212147377,0.13639970768104148,0.1678891107651872,0.2840501899315919,,0.05412538474645999,,,24.48149995803833,0.17067989692362773,,,,,,,25.627451574168354,25.29248180661317,0,0,0,46.09235728971911,0,0,0.33496976755518304,-0.21008379083603224,0.5450535583912153,0,27.50583110441523,21.457168811661433,24.48149995803833,0.24707073925704295,1.19081388365483,1.4844430461788256,0.05179494257090393,71.58659798162303,23.70238533721969,27.940834626768382,1,96.82033809493203,96.00708654947765,16127357.142857144,,,0,71145100.0,24.792310446905102,2443289.3290335815,0.37395283947046826,,,,,,,,,0.04692956133510121,0.013996356296663608,1.0,1.0,1.0,1.0,1.0,486.3096008300781,-0.00043908088327770933,0.024079970222403935,0.10690833619619625,,
2024-02-13,27.96999931335449,28.280000686645508,27.6200008392334,28.21999931335449,20913600.0,0,1,-0.01535242625262434,0.08413363691659614,0.15183670666753013,0.24867251491255415,,-0.015471494983161485,,,24.65649995803833,0.14452575837530465,,,,,,,26.026305072504684,25.509334955260677,0,0,0,44.32631822851717,0,0,0.5169701172440071,-0.06467300922002438,0.5816431264640315,0,28.113095337468145,21.199904578608518,24.65649995803833,0.2803800527497756,1.0154637676892309,1.4526970434645319,0.051477571892678084,67.05949631953501,22.49033155505554,26.5120419628917,1,89.80889765891204,93.02055525710767,17639442.85714286,,,0,50231500.0,25.01924054967287,2122214.827356697,0.41762255894699674,,,,,,,,,0.02338766348232259,-0.024075385126700384,1.0,1.0,1.0,1.0,1.0,479.6116638183594,-0.013772989470670738,-0.0005462175468300412,0.11418733425636053,,
2024-02-14,29.57999992370605,29.825000762939453,29.239999771118164,29.549999237060547,28134500.0,0,1,0.04712969369480691,0.08839777724682674,0.22157910643517642,0.29833035764043525,,0.04605279594072017,,,24.913499927520753,0.1861038923888038,,,,,,,26.56841186705174,25.808643420579184,0,0,0,50.50019515643333,0,0,0.759768446472556,0.10021528191849172,0.6595531645540643,0,28.99987880023993,20.827121054801577,24.913499927520753,0.32804534767153687,1.0673114821160175,1.4635759296159916,0.049528797543264474,62.78908321034499,28.268888350970656,24.435334548593893,1,95.6658554299154,94.09836372791983,20686157.14285714,,,0,78366000.0,25.431611572442783,3448185.194613242,0.3690799708108307,,,,,,,,,0.019796988390023435,0.04819279388529157,1.0,0.0,0.0,1.0,1.0,483.9701843261719,0.009087603235319097,0.012222120949384241,0.11242573749648312,,
2024-02-15,29.9950008392334,30.229999542236328,29.479999542236328,29.520000457763672,22844700.0,0,1,-0.0010151871428561998,0.030006999823107616,0.19999999999999996,0.23051274445209202,,-0.0010157027943417556,,,25.222499942779542,0.17038360688803875,,,,,,,27.02250241946896,26.083558756666925,0,0,0,50.36452964456297,0,0,0.9389436628020356,0.2679609580952005,0.6709827047068351,0,29.721673288815754,20.72332659674333,25.222499942779542,0.35675871592769637,0.9775877905182563,1.4126062203577066,0.04785251349771559,59.0808157216036,29.244704307743337,23.508653241005234,1,88.81891272724106,91.43122193868949,22899271.42857143,,,0,55521300.0,25.819116843370033,3424993.548890835,0.40656973799628665,,,,,,,,,0.02540650367106455,0.015059276266063201,1.0,1.0,1.0,1.0,1.0,487.3094787597656,0.006899793709901791,0.016255796095065334,0.112105550741834,,
2024-02-16,29.857999801635746,29.96999931335449,29.489999771118164,29.6200008392334,15976500.0,0,1,0.003387546745224679,0.04961026080593811,0.17446477579993513,0.20064859131054646,,0.003381821933816834,,,25.513500022888184,0.16095403659479368,,,,,,,27.42211756097118,26.345517429449625,0,0,0,50.83864389903669,0,0,1.0766001315215554,0.4296887927804715,0.6469113387410839,0,30.364393564734925,20.662606481041443,25.513500022888184,0.38026092362827524,0.9232726178094876,1.3459914576347507,0.0454419790512601,55.63742448205802,28.49977044181711,22.909830570163443,1,90.0000218876059,91.49493001492078,23188457.14285714,,,0,71497800.0,26.124177032712744,3479114.689465917,0.42899987597165196,,,,,,,,,0.016205250797985713,0.011449842094537673,0.0,0.0,1.0,1.0,1.0,484.8826293945313,-0.004980098830441038,0.0028306998611760115,0.11411347290157722,,
2024-02-19,29.857999801635746,29.96999931335449,29.489999771118164,29.6200008392334,15976500.0,0,1,0.0,0.002368920608466718,0.13791778939251853,0.1905145433421609,,0.0,,,25.84700002670288,0.14597441902861383,,,,,,,27.7602534499346,26.588071756100277,0,0,0,50.83864389903669,0,0,1.1721816938343217,0.5781873729912416,0.5939943208430801,0,30.86990386666318,20.82409618674258,25.84700002670288,0.38866435832174495,0.8755796380685181,1.2841348922491487,0.043353641318883356,52.43998975962285,27.73884255129262,22.298150939844415,1,90.0000218876059,89.60631883415095,22818171.42857143,,,0,71497800.0,26.462143293404942,3479114.689465917,0.44393286070566923,,,,,,,,,0.016205250797985713,0.008035076153242506,1.0,1.0,1.0,1.0,1.0,484.8826293945313,0.0,0.0023878312651393063,0.10834650691493157,,
2024-02-20,29.8799991607666,29.920000076293945,28.96999931335449,29.670000076293945,21166400.0,0,1,0.00168802281039504,0.005081287811796953,0.09281769772268178,0.22098769579562272,,0.0016865997011596566,,,26.21450004577637,0.13181636210812728,,,,,,,28.05406062322065,26.81636274278129,0,0,0,51.10944282981299,0,0,1.2376978804393595,0.7100894744808652,0.5276084059584942,0,31.22637850313384,21.202621588418896,26.21450004577637,0.3823745216277719,0.8447310284874207,1.2602681687270278,0.04247617679428219,49.006823806420556,26.245287322294754,24.044762502145232,1,90.81968146029104,90.2732417451676,22878685.714285713,,,0,92664200.0,26.81664048677946,3514844.0554798627,0.4189805495594208,,,,,,,,,0.032018899915625496,0.008777795886785403,0.0,1.0,1.0,1.0,1.0,482.2131652832031,-0.0055053820234012285,-0.008858895901010633,0.10998902024031879,,
2024-02-21,29.05500030517578,29.350000381469727,28.90999984741211,29.07999992370605,17664400.0,0,1,-0.019885411225842864,-0.018230955443191088,0.014654573570483276,0.18500402766106205,,-0.02008578683241726,,,26.538500022888183,0.09576652405471095,,,,,,,28.21189743867994,26.98403957099794,0,0,0,47.7658453512372,0,0,1.2278578676820011,0.8136431531210925,0.41421471456090864,0,31.402153814292806,21.67484623148356,26.538500022888183,0.3665356962307557,0.7612747545178254,1.2245347444523713,0.04210917289082003,45.764985193299616,25.081788610269125,23.328800876345934,1,81.14754841616588,87.3224172546876,20382371.42857143,17883523.333333332,1.1397290706457412,0,74999800.0,27.076015287205728,3163580.197422084,0.3397752363721248,,,,0.37970341109778316,,,,,0.01513069240756525,-0.020728000321427135,1.0,1.0,1.0,1.0,1.0,482.6499633789063,0.0009058195154141302,-0.007525324289146651,0.10932522272065338,,
2024-02-22,29.170000076293945,29.76000022888184,29.13500022888184,29.71999931335449,15468400.0,0,1,0.02200823216394543,0.00337604562079008,0.05315379293046818,0.21306119646344857,0.11603455688952158,0.021769546704008536,,,26.886499977111818,0.10538743751156891,,,,,,,28.443913111706795,27.186703255616944,0,0,0,51.474330131890525,0,0,1.257209856089851,0.9023564937148443,0.35485336237500675,0,31.605658167915728,22.167341786307908,26.886499977111818,0.35104295425743604,0.8002123706897801,1.185639427361187,0.03989365594730777,43.102459688454516,26.524311057247388,22.373102484574382,1,91.63934103297612,87.868856969811,19604485.714285713,17143893.333333332,1.1435258802134627,0,90468200.0,27.294579351011645,3504012.3358268575,0.3323782126020766,0.44699816972238465,,,0.30403788289558165,,,,,0.02102961017630846,0.0030949158467681406,1.0,1.0,1.0,1.0,1.0,492.638671875,0.020695554240106828,0.027161574747636363,0.12253391754684856,0.2829,1.0331802688458647
2024-02-23,29.26000022888184,29.309999465942383,28.90999984741211,29.15999984741211,13285800.0,0,1,-0.018842512748334705,-0.017189087548716286,-0.013197949229024508,0.20545676740920804,0.16780138763627117,-0.019022294838062337,,,27.144999980926514,0.07423097689819264,,,,,,,28.554080301815304,27.332873373527697,0,0,0,48.24657099420142,0,0,1.2212069282876072,0.9661265806293968,0.2550803476582104,0,31.76138498309549,22.52861497875754,27.144999980926514,0.3401278324120602,0.718244347637693,1.158808001545558,0.03973964360800228,40.40547517205414,25.200002077539377,22.64295102580657,1,81.48789064356201,84.75826003090134,17483242.85714286,16820356.666666668,1.0394097582835355,0,77182400.0,27.567038874340128,3253674.4799550325,0.22722336019450856,0.40431989869934204,,,0.28327259214250883,,,,,0.013717408114656509,-0.015477762284669756,1.0,1.0,1.0,1.0,1.0,492.9784240722656,0.0006896579920787627,0.018613212213962838,0.12253421868652437,0.2998,0.996721310178324
2024-02-26,29.34000015258789,31.43000030517578,29.32999992370605,31.1200008392334,42806400.0,0,1,0.06721539787645892,0.07015133840713439,0.0542005540873538,0.2650406649048245,0.24629562254692394,0.06505282437016809,,,27.467500019073487,0.13297536425315765,,,,,,,28.94883730757193,27.613401333950343,0,0,0,58.14029775617946,0,0,1.335435973621589,1.0399884592278352,0.29544751439375383,0,32.25393219483873,22.681067843308245,27.467500019073487,0.3485160405891716,0.8815473285773611,1.2381788912754232,0.03978723836390244,39.43786000045345,34.129941082685164,19.67779506998667,1,95.53314924946936,89.55346030866917,20334914.285714287,17480840.0,1.1632687151026087,1,119988800.0,28.08386716566432,6130923.687613884,0.4622430683513026,0.4395183322549153,,,0.28629259315640543,,,,,0.06748073023257223,0.006172850004035783,1.0,1.0,1.0,1.0,1.0,491.17291259765625,-0.0036624553660885573,0.007928090887382888,0.12354623052615801,0.2153,0.7744720161500962
