Date,Close,High,Low,Open,Volume
2021-01-01,368.87939453125,369.3679765107616,366.58305326341,367.9022305722268,37502
2021-01-04,374.791259765625,376.20815956759327,368.87942918640636,368.87942918640636,109545
2021-01-05,375.6218566894531,380.01909493591813,371.32234081260117,371.51778555182733,93424
2021-01-06,366.8273620605469,378.0159018627732,364.67761913874455,377.5273198595437,148374
2021-01-07,363.5050048828125,373.27664479901716,357.7885895676971,369.3679888325353,120079
2021-01-08,362.7232971191406,370.24744220078924,361.5506883637432,366.87624421521065,119175
2021-01-11,357.2511901855469,364.53104461931315,355.8831664508046,363.21189698051074,84915
2021-01-12,374.7424011230469,380.9962448777833,354.1731104603404,355.68770276085803,503701
2021-01-13,368.48858642578125,377.67392296055624,364.2867629221682,374.7424306736697,117782
2021-01-14,367.56024169921875,371.2246067895752,364.4821809874552,371.2246067895752,38907
2021-01-15,364.2378845214844,368.09769428707284,361.5506834955043,364.5798978889267,38308
2021-01-18,357.2511901855469,372.397233280273,353.3425339030369,365.2639176722838,232651
2021-01-19,363.4561767578125,366.2410704164297,357.88632979921823,366.2410704164297,44171
2021-01-20,361.6484375,367.0716862986229,360.7689957786938,365.1662342059064,43012
2021-01-21,363.4561767578125,377.1853195972648,361.55069495074605,363.5050230315609,154491
2021-01-22,356.66485595703125,366.338773483237,353.2447819957994,366.338773483237,64744
2021-01-25,348.6521301269531,361.4529854770855,343.61974110346483,359.8406707170314,73709
2021-01-27,343.9617614746094,348.456722276198,342.00743328441274,345.916089664806,39183
2021-01-28,358.081787109375,364.87305953626964,339.12478020326444,339.12478020326444,159930
2021-01-29,350.997314453125,364.4821654837707,349.8247057458175,364.2378744881382,81154
2021-02-01,341.6165466308594,350.80188243522235,340.0530782380429,350.80188243522235,174412
2021-02-02,341.1767883300781,356.5671205945314,340.05305574792015,344.5480158972293,162766
2021-02-03,344.6457824707031,350.80190423797166,341.22570819540255,341.22570819540255,121481
2021-02-04,343.4243469238281,351.1927838990089,342.34946041197463,344.64580209168827,141844
2021-02-05,340.4439697265625,349.8247511402704,339.4179593400384,344.8412082185491,137293
2021-02-08,330.9165954589844,342.10513562081525,329.8417090531965,340.8348044791823,354754
2021-02-09,331.2586364746094,337.1704674686709,330.37919473129114,332.2358005940035,153248
2021-02-10,343.8151550292969,350.11784485742504,333.7015017926746,333.7015017926746,429363
2021-02-11,354.7593994140625,356.6648812558936,344.79234391247047,347.47954507261767,418579
2021-02-12,345.3786315917969,356.4694192593193,343.9617318476755,356.4694192593193,431891
2021-02-15,346.84442138671875,353.2448345379014,345.91610353089095,346.01382590845435,171814
2021-02-16,349.14068603515625,358.6191887841533,346.89322075851345,349.726990400574,404959
2021-02-17,359.2054748535156,366.4364821368813,346.1114838559598,349.14066825174956,460545
2021-02-18,364.92193603515625,373.66753662114263,363.5050361969763,371.2246264316468,269290
2021-02-19,359.8895263671875,365.60594232054035,354.7105685616401,365.60594232054035,104767
2021-02-22,353.5868225097656,365.94794195478306,351.73021675236885,361.5507036669419,153006
2021-02-23,354.5639343261719,357.98400804607576,350.45983393401673,355.5899445138725,119176
2021-02-24,357.69085693359375,359.1566028789367,354.9059634939842,355.68768273656275,49635
2021-02-25,360.52471923828125,363.01647585219683,358.42379249322295,360.475843139162,65905
2021-02-26,354.27081298828125,360.4758106452048,352.8050669191188,357.64204087562683,70704
2021-03-01,356.567138671875,361.5506810504905,351.77904102209885,359.1077710433926,108266
2021-03-02,359.69403076171875,366.241010875681,356.56709441249717,356.56709441249717,209811
2021-03-03,380.8985290527344,388.91128607090945,361.110957336815,362.5278571163503,789733
2021-03-04,410.8974609375,414.31753492865636,373.27664703478,375.5729883929779,1615614
2021-03-05,396.6797790527344,419.20339967088074,390.8656407187699,414.3175791618961,580800
2021-03-08,405.81622314453125,412.7540939509908,396.8263316637882,403.47103535914965,320710
2021-03-09,393.6993713378906,410.2134370451479,390.86560168977553,407.3308211250931,189909
2021-03-10,393.2108154296875,399.3180908613759,389.88846355898517,395.26286593887096,142479
2021-03-12,406.7445068359375,415.7832736545139,396.09342541385877,397.1683117564197,485696
2021-03-15,428.9749755859375,437.7694511674259,407.7705058667444,410.6043051884325,993743
2021-03-16,427.118408203125,436.79232624302927,420.3759822856572,433.8608341205928,420435
2021-03-17,401.90753173828125,431.3201734047345,396.7285745894002,430.5384541515487,264370
2021-03-18,387.6409912109375,409.38289135976356,377.1853239301962,408.01483783093363,353306
2021-03-19,381.2894287109375,386.6149549534997,371.3223433557478,381.3382749857384,207500
2021-03-22,384.61175537109375,392.28249871542414,379.1396310210867,384.0254510084718,123636
2021-03-23,384.22088623046875,390.8655893206486,380.65421387137553,385.1980502037704,99883
2021-03-24,373.8141174316406,385.93097622234626,371.42008326044567,383.0483301766725,99552
2021-03-25,367.8534240722656,375.9150276057706,362.0392859592231,375.71958286456487,112443
2021-03-26,368.8305969238281,372.88582192467146,365.0685092210963,371.2735071436954,91553
2021-03-30,365.16619873046875,376.9410130022681,359.59635200216377,371.32232000223433,173767
2021-03-31,369.41680908203125,376.2081102736839,366.436471045796,368.39079889137355,70003
2021-04-01,378.7488098144531,380.80086038149364,369.8566105710653,372.2017984388194,87162
2021-04-05,371.566650390625,378.1625080898669,366.7296761495749,378.1625080898669,71732
2021-04-06,370.2962951660156,376.6967071860418,369.07484021405054,372.29946935896743,95287
2021-04-07,367.51141357421875,373.7652576731098,366.4853734058448,369.3680193475438,92976
2021-04-08,374.6446838378906,380.0679621069318,369.368004030167,369.368004030167,164690
2021-04-09,372.88580322265625,376.89218174643565,370.4917393989876,376.5990146423465,66795
2021-04-12,349.3361511230469,369.3680143342985,346.20921420570124,369.2702919642539,136031
2021-04-13,356.5183410644531,372.2995359002894,344.74349533057756,351.77908903964357,77204
2021-04-15,359.4986572265625,364.48219997317375,351.7790669982374,360.96440333905514,93382
2021-04-16,357.6420593261719,367.5602689417094,354.7105670366131,360.47582924194234,93818
2021-04-19,350.3133239746094,354.71056235085973,346.25809899175925,354.71056235085973,77339
2021-04-20,353.9288330078125,359.7429412485441,350.9973408398428,350.9973408398428,61258
2021-04-22,354.5639343261719,357.64199470995015,350.60640255787735,353.7821852977881,86093
2021-04-23,358.7169189453125,370.83374687103384,353.4402391832202,354.56397184596625,142843
2021-04-26,374.49810791015625,378.16247295820085,360.5246744552179,360.5246744552179,257244
2021-04-27,379.92138671875,386.956980103449,374.4981379410273,376.2081751005754,223789
2021-04-28,381.5337219238281,386.8104019219816,379.1396580311836,382.5108859909188,131870
2021-04-29,390.9144592285156,394.8231153580673,382.07113666367684,382.6574410472455,246088
2021-04-30,395.9957275390625,404.4481905279503,386.95696016155154,388.91128824317553,307843
2021-05-03,409.6271667480469,415.19698373749225,391.25646538566855,393.7970977871408,356355
2021-05-04,405.9627990722656,421.3531321990388,403.9107486912268,416.17414506397125,217264
2021-05-05,433.9096984863281,446.4662628984491,407.5262682843369,414.3175705794182,1251616
2021-05-06,437.37860107421875,449.3977060357019,427.9000985906129,437.7694606999939,613082
2021-05-07,428.730712890625,443.4370194330175,426.23895657303666,440.1146677360066,191642
2021-05-10,433.0302429199219,437.2809125028002,424.0891978239448,431.9065102262295,147834
2021-05-11,428.2909851074219,436.74347787648856,425.84807501709736,428.8772894932357,111689
2021-05-12,415.92987060546875,431.0759133326598,413.68240522583505,429.7567359051878,115254
2021-05-14,404.5947570800781,420.1805353787961,402.59158273503255,418.86135796637785,75877
2021-05-17,414.6106872558594,425.0663543367832,404.7413543795261,404.7413543795261,126406
2021-05-18,412.6075439453125,419.1056792890182,411.5326574640895,418.1285151825758,69616
2021-05-19,419.8385314941406,427.50927531245446,416.2718886470985,420.08282250860486,161606
2021-05-20,431.3201904296875,438.746642910799,418.2261985875768,421.1576906337514,321668
2021-05-21,435.0334167480469,442.9484211463116,433.9585304036288,437.7694639695855,127579
2021-05-24,437.1831970214844,444.5119275140909,430.68506194884276,435.13114651941845,127654
2021-05-25,437.6717834472656,442.6064799208923,435.91290003965827,440.6032756737318,67853
2021-05-26,430.58734130859375,439.9681223409659,429.0727489289738,437.8183494595562,70777
2021-05-27,432.688232421875,444.3653548288831,426.0435287639209,432.688232421875,150171
