Date,Open,High,Low,Close,Volume
2021-01-01,1011.1626354237354,1018.4499641155589,1007.8194355748892,1015.8335571289062,2915215
2021-01-04,1019.4480011354409,1028.8188252523046,1015.8334373206677,1021.8221435546875,3923440
2021-01-05,1015.5718605869253,1034.371592351831,1013.0426357018193,1024.66162109375,4770920
2021-01-06,1024.6617410533488,1030.1078379673215,1012.8585719145909,1024.93310546875,2713390
2021-01-07,1027.3942933394844,1032.0458147513798,1018.0913688087968,1021.5606689453125,3266465
2021-01-08,1027.181301856358,1038.8293891202213,1023.130708728751,1034.614013671875,4045915
2021-01-11,1035.7283575770398,1051.8146830485753,1032.239657107094,1049.8377685546875,4599235
2021-01-12,1054.518352770055,1055.01258143132,1032.908447057131,1037.637451171875,3741860
2021-01-13,1039.7983082300773,1041.7364225045044,1015.1842332862332,1025.262451171875,3296060
2021-01-14,1028.1502440661095,1032.6272834021597,1020.4171868759414,1028.925537109375,2674860
2021-01-15,1030.107764606262,1030.107764606262,1006.966674814521,1010.30029296875,2577605
2021-01-18,1013.8276219258646,1015.1746256643842,975.8406260063217,979.15478515625,4412055
2021-01-19,986.1125659978923,989.397684044221,976.140988875199,986.2870483398438,3990495
2021-01-20,988.8840833486821,1000.0184814233331,981.6645957316708,984.6880493164062,3398145
2021-01-21,990.3763701333654,995.8030663110917,975.6273492542098,979.174072265625,2906620
2021-01-22,978.505461994531,989.4751960837274,966.1499832716487,976.2088012695312,3815610
2021-01-25,977.1972217144884,993.942557108409,961.304661316363,985.0271606445312,3588895
2021-01-27,979.2128031282624,979.2128031282624,936.651831698775,951.4783935546875,5261980
2021-01-28,939.0163781263166,950.4415406293353,925.8372245480779,944.2105102539062,5165470
2021-01-29,947.7378922747436,952.5831780225694,881.8420061043114,892.0558471679688,14820975
2021-02-01,883.7898061424933,887.2009061806833,851.4232742119449,858.22607421875,12951700
2021-02-02,866.1432993983797,877.5781623424928,849.0879166152845,868.759765625,18375530
2021-02-03,887.4528428091536,922.8525295552838,880.3787373103175,901.1359252929688,17227025
2021-02-04,909.5570140230793,912.0765980918476,895.8157907836463,904.7020874023438,6508800
2021-02-05,908.0066209459196,936.109280505612,896.5039164026945,930.4693603515625,12038405
2021-02-08,942.8925637220367,951.6043776376852,935.1401068774568,941.884765625,10792890
2021-02-09,939.985460350112,948.8426571304402,931.263945769544,938.8419799804688,6233845
2021-02-10,939.0163453339429,946.5943790780839,922.7361976156681,934.9559936523438,5767115
2021-02-11,934.364968373996,941.9236027395076,932.2330306948625,935.14990234375,3557750
2021-02-12,941.8848590904361,941.8848590904361,927.38774205973,928.7444458007812,2504510
2021-02-15,928.7444773558265,936.7973406099806,910.9235006152728,912.8228149414062,4923205
2021-02-16,916.5342935449102,922.8525654545111,905.0994303441776,910.2548217773438,4064700
2021-02-17,910.254769301865,912.8421353315182,887.6563494646331,891.63916015625,5106775
2021-02-18,892.889273740353,903.9074487062945,883.7801129526146,894.8176879882812,5147530
2021-02-19,891.9202685580456,916.3404626265725,877.9658212504095,907.3185424804688,6392670
2021-02-22,912.4642547171427,916.137019434836,861.133322162754,866.1917724609375,6976565
2021-02-23,871.7637973485561,878.7991617925653,856.7434113707757,871.2114868164062,5317090
2021-02-24,871.2114821899846,876.754460724584,848.3126568924444,859.6602783203125,3677930
2021-02-25,856.8694596384904,889.5945413784056,856.8694596384904,868.3043823242188,8531875
2021-02-26,864.3989490737591,883.5087270463449,853.7393207780065,857.9159545898438,7534450
2021-03-01,861.4918031034405,867.887556610716,852.8187298143143,863.1198120117188,3545365
2021-03-02,866.9961112261168,868.2558737896838,850.8613439129506,853.6812744140625,9188390
2021-03-03,865.3680620302786,875.2040160692004,857.8094278530543,872.6456909179688,4253070
2021-03-04,868.6629413179629,888.3056915277471,861.2980707405453,886.6970825195312,7364955
2021-03-05,881.8419717269669,883.7800859505426,869.0504060220564,870.6978149414062,4131845
2021-03-08,872.151501966175,876.4153774121888,864.9804548469406,870.6494750976562,2782080
2021-03-09,872.3356094707099,876.0277150632446,855.9682190505158,862.1314086914062,2715590
2021-03-10,871.3761678798895,875.9985300894613,863.6334110101037,872.2289428710938,3149805
2021-03-12,876.027629835871,877.9560440265967,853.3710698103829,857.90625,3439260
2021-03-15,864.3989819157568,864.8253694296492,830.4819815042641,841.5776977539062,4608715
2021-03-16,848.9134511891148,865.697527881895,845.9868797115545,862.4027099609375,4678635
2021-03-17,862.4026602624629,865.3679725618183,841.9749204521531,844.2134399414062,4769865
2021-03-18,846.9559865198906,848.6033955769867,813.0486848067598,816.4791259765625,6054535
2021-03-19,815.9460953821642,834.4260217659,801.4102385760687,828.437255859375,7062075
2021-03-22,828.9121907960496,846.5587445167747,827.2357406894301,843.8453369140625,4336515
2021-03-23,843.0797127016709,853.3516947380352,837.6723572936527,847.3920288085938,3326180
2021-03-24,843.1281947120918,856.45273104902,839.4651892971314,843.1766357421875,3912020
2021-03-25,843.0797462147975,853.1870054999928,830.4335618508869,849.0006713867188,4707080
2021-03-26,856.6465146758311,857.2279253031885,842.633927090976,853.9331665039062,3626590
2021-03-30,858.5750101863528,877.4716262691202,856.8501190642394,875.6788940429688,4331625
2021-03-31,874.0896219354619,881.2025280320171,868.4691018277165,875.2525024414062,3862550
2021-04-01,881.8421304011518,890.5539459402362,876.4250741470571,889.13916015625,3238200
2021-04-05,883.7802287003333,888.4316917589174,857.4025182472366,883.1212768554688,3661290
2021-04-06,883.5863008622889,899.2656385106445,880.2915420278359,895.263427734375,3711470
2021-04-07,903.6070130289215,917.5032588480366,899.4788202816904,909.4891967773438,5568060
2021-04-08,909.5086578332391,921.7672555382444,903.3939090344638,908.7915649414062,3303175
2021-04-09,909.537713943312,929.1320219345939,909.2179085095788,922.6005859375,6810735
2021-04-12,925.4496022537185,992.3145473380185,909.9446874515619,968.466064453125,17568825
2021-04-13,997.1016285819525,997.1016285819525,920.8174764838865,925.8953857421875,19686170
2021-04-15,938.6094162926627,944.840446838094,927.3877176311373,939.1229858398438,6934505
2021-04-16,942.660097744737,957.4285201097006,933.240830940484,948.3678588867188,5990145
2021-04-19,948.3193152510598,970.0262193425216,931.6612202673175,962.8745727539062,9219640
2021-04-20,988.4382977076441,1009.9029373409958,986.4033013415739,999.4370727539062,17424880
2021-04-22,1003.9335156762495,1025.262473187773,999.8732229648282,1007.7903442382812,12120670
2021-04-23,1013.2462341872276,1020.6401457163548,974.8909909220064,981.9844970703125,11774495
2021-04-26,993.283678550113,994.252735797479,974.9200318832159,981.9844970703125,4752885
