asset_class,asset,model,cv_accuracy,cv_accuracy_std,test_accuracy
Commodities,Aluminum,CatBoost,0.43664122137404576,0.04640819588876537,0.4263959390862944
Commodities,Aluminum,XGBoost,0.43740458015267175,0.04043640500198174,0.5203045685279187
Commodities,Aluminum,LightGBM,0.4564885496183206,0.027374688667238335,0.5456852791878173
Commodities,Aluminum,RandomForest,0.4633587786259542,0.04727896967084588,0.5050761421319797
Commodities,Aluminum,LogisticRegression,0.4679389312977099,0.04043640500198175,0.5304568527918782
Commodities,Brent_Crude_Oil,CatBoost,0.5320610687022901,0.052477793106251024,0.46446700507614214
Commodities,Brent_Crude_Oil,XGBoost,0.5343511450381679,0.010522174619916209,0.49238578680203043
Commodities,Brent_Crude_Oil,LightGBM,0.5412213740458015,0.02798519508369979,0.47715736040609136
Commodities,Brent_Crude_Oil,RandomForest,0.5435114503816794,0.026288817340034448,0.4949238578680203
Commodities,Brent_Crude_Oil,LogisticRegression,0.533587786259542,0.0625022579861335,0.4746192893401015
Commodities,Copper,CatBoost,0.5572519083969466,0.05272151648803665,0.4365482233502538
Commodities,Copper,XGBoost,0.5374045801526719,0.06429457004349794,0.4035532994923858
Commodities,Copper,LightGBM,0.5412213740458015,0.0363217626057109,0.4035532994923858
Commodities,Copper,RandomForest,0.5404580152671755,0.0370524003038522,0.434010152284264
Commodities,Copper,LogisticRegression,0.5129770992366413,0.040001748111676026,0.46954314720812185
Commodities,Corn,CatBoost,0.47175572519083964,0.04435370701170671,0.5736040609137056
Commodities,Corn,XGBoost,0.5030534351145037,0.032242308522050185,0.5329949238578681
Commodities,Corn,LightGBM,0.48778625954198473,0.05323846037912274,0.5558375634517766
Commodities,Corn,RandomForest,0.48167938931297705,0.0642945700434979,0.5228426395939086
Commodities,Corn,LogisticRegression,0.4549618320610687,0.05805543005139401,0.5101522842639594
Commodities,Cotton,CatBoost,0.48702290076335875,0.06090627253532426,0.5710659898477157
Commodities,Cotton,XGBoost,0.48244274809160304,0.02272194819257592,0.6345177664974619
Commodities,Cotton,LightGBM,0.4900763358778626,0.0615723506261856,0.5913705583756346
Commodities,Cotton,RandomForest,0.48244274809160304,0.052310967019883386,0.550761421319797
Commodities,Cotton,LogisticRegression,0.465648854961832,0.0762212880388801,0.4847715736040609
Commodities,Fertilizer_Index,CatBoost,0.5007633587786259,0.06572869279886796,0.4619289340101523
Commodities,Fertilizer_Index,XGBoost,0.5038167938931297,0.06641660071498078,0.39593908629441626
Commodities,Fertilizer_Index,LightGBM,0.4977099236641222,0.057256997229310456,0.42385786802030456
Commodities,Fertilizer_Index,RandomForest,0.5160305343511451,0.08971982755468232,0.4137055837563452
Commodities,Fertilizer_Index,LogisticRegression,0.5061068702290077,0.04532834454749168,0.5101522842639594
Commodities,Gold,CatBoost,0.5206106870229007,0.09149484703189391,0.4873096446700508
Commodities,Gold,XGBoost,0.49541984732824423,0.09196493404486109,0.4847715736040609
Commodities,Gold,LightGBM,0.4893129770992366,0.08297116491065624,0.4949238578680203
Commodities,Gold,RandomForest,0.4801526717557252,0.06730556471803702,0.5
Commodities,Gold,LogisticRegression,0.4587786259541985,0.0781986461631933,0.6091370558375635
Commodities,Natural_Gas,CatBoost,0.533587786259542,0.038878875048081976,0.6065989847715736
Commodities,Natural_Gas,XGBoost,0.5221374045801527,0.06217509219632744,0.6218274111675127
Commodities,Natural_Gas,LightGBM,0.5022900763358779,0.07692899351049846,0.5431472081218274
Commodities,Natural_Gas,RandomForest,0.5000000000000001,0.04418258359843599,0.5913705583756346
Commodities,Natural_Gas,LogisticRegression,0.5358778625954198,0.05846550882096675,0.44923857868020306
Commodities,Natural_Rubber,CatBoost,0.46311787072243343,0.08314399208271701,0.5974683544303797
